Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,9. Consumption as social practices - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Practices of consumption,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Globalised systems of provision,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Discursive and practical consciousness,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Rate of exchange,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Rules and resources,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental utilisation space,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Knowledge and skills,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental innovations,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Modes of production-consumption ,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,"Standards of comfort, cleanliness and convenience",
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Time-space structures,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Structures,
15,Block,Standard,2,,,,,,,,Lifestyles,
16,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
17,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Socio-technical innovations,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Social actors,
20,Connector,Flowchart Shapes/Containers,2,,,,,,,,,
21,Line,,2,,,5,15,None,Arrow,,,
22,Line,,2,,,3,4,None,Arrow,,,
23,Line,,2,,,4,3,None,Arrow,,,
24,Line,,2,,,8,3,None,Arrow,,,
25,Line,,2,,,9,3,None,Arrow,,,
26,Line,,2,,,10,11,None,Arrow,,,
27,Line,,2,,,11,7,None,Arrow,,,
28,Line,,2,,,11,4,None,Arrow,,,
29,Line,,2,,,11,3,None,Arrow,,,
30,Line,,2,,,12,3,None,Arrow,,,
31,Line,,2,,,13,3,None,Arrow,,,
32,Line,,2,,,4,17,None,Arrow,,,
33,Line,,2,,,7,17,None,Arrow,,,
34,Line,,2,,,17,14,None,Arrow,,,
35,Line,,2,,,16,15,None,Arrow,,,
36,Line,,2,,,3,16,None,Arrow,,,
37,Line,,2,,,6,21,None,Arrow,,,
38,Line,,2,,,7,3,None,Arrow,,,
39,Line,,2,,,18,3,None,Arrow,,,
40,Line,,2,,,13,17,None,Arrow,,,
41,Line,,2,,,7,4,None,Arrow,,,
42,Line,,2,,,15,20,None,Arrow,,,
43,Line,,2,,,15,3,None,Arrow,,,
44,Line,,2,,,20,19,None,Arrow,,,
45,Line,,2,,,5,16,None,Arrow,,,
46,Line,,2,,,5,20,None,Arrow,,,
