Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,1. Action Theory Model of Consumption - FINAL + corrections May2020,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes,2,,,,,,,,Desirability ,
4,Process,Flowchart Shapes,2,,,,,,,,Feasibility of goals ,
6,Process,Flowchart Shapes,2,,,,,,,,Goal intention ,
7,Process,Flowchart Shapes,2,,,,,,,,Somatic marker processes ,
8,Process,Flowchart Shapes,2,,,,,,,,Previous emotional experiences with behaviour ,
10,Process,Flowchart Shapes,2,,,,,,,,Normative beliefs ,
11,Process,Flowchart Shapes,2,,,,,,,,Motivation to comply ,
12,Process,Flowchart Shapes,2,,,,,,,,Subjective norms ,
14,Process,Flowchart Shapes,2,,,,,,,,Beliefs,
15,Process,Flowchart Shapes,2,,,,,,,,Evaluations ,
16,Process,Flowchart Shapes,2,,,,,,,,Attitudes ,
18,Process,Flowchart Shapes,2,,,,,,,,Moral imperatives ,
19,Process,Flowchart Shapes,2,,,,,,,,Desire,
20,Process,Flowchart Shapes,2,,,,,,,,Social identity processes ,
21,Process,Flowchart Shapes,2,,,,,,,,Implementation intentions,
22,Process,Flowchart Shapes,2,,,,,,,,Perceived behavioural control ,
23,Process,Flowchart Shapes,2,,,,,,,,Anticipated emotions ,
24,Process,Flowchart Shapes,2,,,,,,,,Trying,
26,Process,Flowchart Shapes,2,,,,,,,,Antecedents of goal-directed behaviour ,
27,Process,Flowchart Shapes,2,,,,,,,,Performance of goal-directed behaviours ,
28,Process,Flowchart Shapes,2,,,,,,,,Situational Forces ,
29,Process,Flowchart Shapes,2,,,,,,,,Goal attainment / failure ,
30,Process,Flowchart Shapes,2,,,,,,,,Feedback ,
31,Process,Flowchart Shapes,2,,,,,,,,Recency of past behaviour ,
32,Process,Flowchart Shapes,2,,,,,,,,Frequency of past behaviour,
33,Process,Flowchart Shapes,2,,,,,,,,Low,
34,Process,Flowchart Shapes,2,,,,,,,,High,
36,Process,Flowchart Shapes,2,,,,,,,,Self-conscious emotions,
37,Process,Flowchart Shapes,2,,,,,,,,Moral emotions,
38,Process,Flowchart Shapes,2,,,,,,,,"Virtues, values, other individual differences",
39,Process,Flowchart Shapes,2,,,,,,,,Empathy,
40,Process,Flowchart Shapes,2,,,,,,,,Social and personal identity,
51,Line,,2,,,7,23,None,Arrow,,,
52,Line,,2,,,23,19,None,Arrow,,,
55,Line,,2,,,22,19,None,Arrow,,,
56,Line,,2,,,21,147,None,Arrow,,relates through,
59,Line,,2,,,29,30,None,Arrow,,+/-,
60,Line,,2,,,6,19,None,Arrow,,+,
61,Line,,2,,,12,19,None,Arrow,,,
66,Line,,2,,,16,19,None,Arrow,,,
67,Line,,2,,,24,27,None,Arrow,,+,
68,Line,,2,,,22,27,None,Arrow,,+,
69,Line,,2,,,22,24,None,Arrow,,+,
70,Line,,2,,,19,149,None,Arrow,,relates through,
80,Line,,2,,,30,26,None,Arrow,,,
81,Line,,2,,,32,19,None,Arrow,,,
82,Line,,2,,,18,19,None,Arrow,,,
84,Line,,2,,,20,19,None,Arrow,,,
85,Line,,2,,,20,21,None,Arrow,,,
86,Line,,2,,,33,21,None,Arrow,,,
89,Line,,2,,,27,145,None,Arrow,,relates through,
90,Line,,2,,,28,145,None,Arrow,,,
91,Line,,2,,,31,27,None,Arrow,,+,
93,Line,,2,,,34,27,None,Arrow,,,
94,Line,,2,,,22,21,None,Arrow,,,
96,Line,,2,,,36,147,None,Arrow,,,
97,Line,,2,,,37,147,None,Arrow,,,
98,Line,,2,,,38,147,None,Arrow,,,
99,Line,,2,,,39,147,None,Arrow,,,
100,Line,,2,,,40,147,None,Arrow,,,
101,Line,,2,,,40,149,None,Arrow,,,
102,Line,,2,,,39,149,None,Arrow,,,
103,Line,,2,,,38,149,None,Arrow,,,
104,Line,,2,,,37,149,None,Arrow,,,
105,Line,,2,,,36,149,None,Arrow,,,
106,Line,,2,,,3,6,None,Arrow,,*,
108,Line,,2,,,4,6,None,Arrow,,*,
110,Line,,2,,,8,7,None,Arrow,,Part of,
112,Line,,2,,,10,12,None,Arrow,,*,
114,Line,,2,,,11,12,None,Arrow,,*,
115,Line,,2,,,14,16,None,Arrow,,*,
117,Line,,2,,,14,12,None,Arrow,,*,
118,Line,,2,,,15,16,None,Arrow,,*,
120,Line,,2,,,15,12,None,Arrow,,*,
121,Line,,2,,,12,26,None,Arrow,,Part of,
122,Line,,2,,,23,26,None,Arrow,,Part of,
