Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,10. Containment Theory May 2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Inner drives or pushes,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,External environment,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Deviant behaviour,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-control,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-concept,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Ego strength,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Superego,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Frustration tolerance,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Resistance to diversions,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Goal orientation,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Ability to find substitute satisfactions,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Tension-reducing rationalisations,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,"Opportunity for acceptance, identity, and belonging",
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Safety valves,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Limits and responsibilities,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Supervision and discipline,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Social expectations,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Presentation of consistent moral front,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,"Institutional reinforcement of norms, goals, expectations",
22,Process,Flowchart Shapes,2,,,,,,,,Inner containment,
23,Process,Flowchart Shapes,2,,,,,,,,Outer containment,
27,Line,,2,,,4,23,None,Arrow,,,
28,Line,,2,,,3,22,None,Arrow,,,
50,Line,,2,,,23,5,None,Arrow,,*,
51,Line,,2,,,22,5,None,Arrow,,*,
52,Line,,2,,,6,22,None,Arrow,,Part of,
53,Line,,2,,,7,22,None,Arrow,,Part of,
54,Line,,2,,,8,22,None,Arrow,,Part of,
55,Line,,2,,,9,22,None,Arrow,,Part of,
56,Line,,2,,,10,22,None,Arrow,,Part of,
57,Line,,2,,,11,22,None,Arrow,,Part of,
58,Line,,2,,,12,22,None,Arrow,,Part of,
59,Line,,2,,,13,22,None,Arrow,,Part of,
60,Line,,2,,,14,22,None,Arrow,,Part of,
61,Line,,2,,,15,23,None,Arrow,,Part of,
62,Line,,2,,,16,23,None,Arrow,,Part of,
63,Line,,2,,,17,23,None,Arrow,,Part of,
64,Line,,2,,,18,23,None,Arrow,,Part of,
65,Line,,2,,,19,23,None,Arrow,,Part of,
66,Line,,2,,,20,23,None,Arrow,,Part of,
67,Line,,2,,,21,23,None,Arrow,,Part of,
