Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,11. Control Theory - FINAL,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Input function (perception),
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Comparator,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Output function (behaviour),
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Impact on environment,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,System control,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Principle control,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Program control,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,General course of action / senses,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Reference value,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Disturbance,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Hierarchy of systems,
15,Line,,2,,,5,6,None,Arrow,,,
16,Line,,2,,,4,5,None,Arrow,,,
17,Line,,2,,,6,3,None,Arrow,,,
18,Line,,2,,,3,4,None,Arrow,,,
19,Line,,2,,,3,7,None,Arrow,,,
20,Line,,2,,,3,8,None,Arrow,,,
21,Line,,2,,,3,9,None,Arrow,,,
22,Line,,2,,,3,10,None,Arrow,,,
23,Line,,2,,,7,8,None,Arrow,,,
24,Line,,2,,,8,,None,Arrow,,,
25,Line,,2,,,8,9,None,Arrow,,,
26,Line,,2,,,9,10,None,Arrow,,,
27,Line,,2,,,10,11,None,Arrow,,,
28,Line,,2,,,11,4,None,Arrow,,,
34,Line,,2,,,12,6,None,Arrow,,,
35,Line,,2,,,7,13,None,Arrow,,Part of,
36,Line,,2,,,8,13,None,Arrow,,Part of,
37,Line,,2,,,9,13,None,Arrow,,Part of,
38,Line,,2,,,10,13,None,Arrow,,Part of,
