Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,13. Diffusion of Innovations - FINAL,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Time,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Social system,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Innovation,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Communication Channels,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Technology,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Hardware aspect,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Software aspect,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Uncertainty,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Software information,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Innovation-evaluation information,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Innovation clusters,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Adoption/rejection,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Characteristics of Innovations,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Relative advantage,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Compatibility,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Complexity,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Trialability,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Observability,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Reinvention,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Mass media,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,Interpersonal,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Near-peers,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Modelling,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Homophilious,
33,Process,Flowchart Shapes/Containers,2,,,,,,,,Localite channels,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Cosmopolite channels,
36,Process,Flowchart Shapes/Containers,2,,,,,,,,Innovation-decision,
37,Process,Flowchart Shapes/Containers,2,,,,,,,,Knowledge ,
38,Process,Flowchart Shapes/Containers,2,,,,,,,,Persuasion,
39,Process,Flowchart Shapes/Containers,2,,,,,,,,Decision,
40,Process,Flowchart Shapes/Containers,2,,,,,,,,Implementation,
41,Process,Flowchart Shapes/Containers,2,,,,,,,,Confirmation,
43,Process,Flowchart Shapes/Containers,2,,,,,,,,Adopter categories,
44,Process,Flowchart Shapes/Containers,2,,,,,,,,Innovators,
45,Process,Flowchart Shapes/Containers,2,,,,,,,,Innovativeness,
46,Process,Flowchart Shapes/Containers,2,,,,,,,,Early adopters,
47,Process,Flowchart Shapes/Containers,2,,,,,,,,Early majority,
48,Process,Flowchart Shapes/Containers,2,,,,,,,,Late majority,
49,Process,Flowchart Shapes/Containers,2,,,,,,,,Laggards,
50,Process,Flowchart Shapes/Containers,2,,,,,,,,Rate of adoption,
52,Process,Flowchart Shapes/Containers,2,,,,,,,,Social Structure,
53,Process,Flowchart Shapes/Containers,2,,,,,,,,Communication structure,
55,Process,Flowchart Shapes/Containers,2,,,,,,,,System norms,
57,Process,Flowchart Shapes/Containers,2,,,,,,,,Communication networks,
58,Process,Flowchart Shapes/Containers,2,,,,,,,,Change agents,
59,Process,Flowchart Shapes/Containers,2,,,,,,,,Aides,
61,Process,Flowchart Shapes/Containers,2,,,,,,,,Optional innovation-decision,
62,Process,Flowchart Shapes/Containers,2,,,,,,,,Collective innovation-decision,
63,Process,Flowchart Shapes/Containers,2,,,,,,,,Authority innovation-decision,
64,Process,Flowchart Shapes/Containers,2,,,,,,,,Contingent innovation-decision,
66,Process,Flowchart Shapes/Containers,2,,,,,,,,Prior adoption of innovation,
68,Process,Flowchart Shapes/Containers,2,,,,,,,,Consequences of adoption,
70,Process,Flowchart Shapes/Containers,2,,,,,,,,Desirable vs undesirable,
71,Process,Flowchart Shapes/Containers,2,,,,,,,,Direct vs indirect ,
72,Process,Flowchart Shapes/Containers,2,,,,,,,,Anticipated vs unanticipated,
73,Process,Flowchart Shapes/Containers,2,,,,,,,,Cost,
74,Process,Flowchart Shapes/Containers,2,,,,,,,,Radicalness,
75,Process,Flowchart Shapes/Containers,2,,,,,,,,Opinion leaders,
76,Process,Flowchart Shapes/Containers,2,,,,,,,,Density,
77,Process,Flowchart Shapes/Containers,2,,,,,,,,Clustering,
78,Process,Flowchart Shapes/Containers,2,,,,,,,,Centralisation,
79,Process,Flowchart Shapes/Containers,2,,,,,,,,Low,
80,Process,Flowchart Shapes/Containers,2,,,,,,,,Very low,
81,Process,Flowchart Shapes/Containers,2,,,,,,,,High,
82,Process,Flowchart Shapes/Containers,2,,,,,,,,Very high,
84,Process,Flowchart Shapes/Containers,2,,,,,,,,Thresholds,
86,Process,Flowchart Shapes/Containers,2,,,,,,,,Network structural indicators,
88,Process,Flowchart Shapes/Containers,2,,,,,,,,Diffusion rate,
89,Process,Flowchart Shapes/Containers,2,,,,,,,,Individual,
90,Process,Flowchart Shapes/Containers,2,,,,,,,,Population,
91,Process,Flowchart Shapes/Containers,2,,,,,,,,Rate of imitation,
92,Process,Flowchart Shapes/Containers,2,,,,,,,,Rate of innovation,
101,Line,,2,,,13,14,None,Arrow,,,
102,Line,,2,,,14,12,None,Arrow,,​-,
105,Line,,2,,,15,17,None,Arrow,,​+,
106,Line,,2,,,18,17,None,Arrow,,,
114,Line,,2,,,6,17,None,Arrow,,​+,
119,Line,,2,,,27,30,None,Arrow,,,
120,Line,,2,,,30,17,None,Arrow,,​+,
122,Line,,2,,,5,17,None,Arrow,,,
130,Line,,2,,,36,3,None,Arrow,,,
137,Line,,2,,,37,38,Arrow,Arrow,,Transition,
138,Line,,2,,,38,39,Arrow,Arrow,,Transition,
139,Line,,2,,,39,40,Arrow,Arrow,,Transition,
140,Line,,2,,,40,41,Arrow,Arrow,,Transition,
141,Line,,2,,,45,3,None,Arrow,,,
142,Line,,2,,,43,45,None,Arrow,,,
149,Line,,2,,,3,50,None,Arrow,,,
151,Line,,2,,,4,50,None,Arrow,,,
152,Line,,2,,,52,12,None,Arrow,,​-,
153,Line,,2,,,53,31,None,Arrow,,​+,
157,Line,,2,,,55,17,None,Arrow,,​+/-,
160,Line,,2,,,58,36,None,Arrow,,,
161,Line,,2,,,58,59,None,Arrow,,,
162,Line,,2,,,59,36,None,Arrow,,,
166,Line,,2,,,59,31,None,Arrow,,,
167,Line,,2,,,36,17,None,Arrow,,,
180,Line,,2,,,36,68,None,Arrow,,,
181,Line,,2,,,68,4,None,Arrow,,,
187,Line,,2,,,,,None,Arrow,,,
196,Line,,2,,,84,45,None,Arrow,,,
200,Line,,2,,,86,57,None,Arrow,,,
205,Line,,2,,,86,88,None,Arrow,,,
209,Line,,2,,,7,5,None,Arrow,,Type of,
210,Line,,2,,,10,7,None,Arrow,,Part of,
211,Line,,2,,,9,7,None,Arrow,,Part of,
212,Line,,2,,,13,7,None,Arrow,,Part of,
213,Line,,2,,,15,5,None,Arrow,,Part of,
214,Line,,2,,,18,5,None,Arrow,,Part of,
215,Line,,2,,,20,18,None,Arrow,,Part of,
216,Line,,2,,,23,18,None,Arrow,,Part of,
217,Line,,2,,,21,18,None,Arrow,,Part of,
218,Line,,2,,,22,18,None,Arrow,,Part of,
219,Line,,2,,,19,18,None,Arrow,,Part of,
220,Line,,2,,,24,18,None,Arrow,,Part of,
221,Line,,2,,,74,18,None,Arrow,,Part of,
222,Line,,2,,,73,18,None,Arrow,,Part of,
223,Line,,2,,,31,27,None,Arrow,,Type of,
224,Line,,2,,,33,27,None,Arrow,,Type of,
225,Line,,2,,,34,27,None,Arrow,,Type of,
226,Line,,2,,,28,27,None,Arrow,,Type of,
227,Line,,2,,,75,27,None,Arrow,,Type of,
228,Line,,2,,,75,27,None,Arrow,,Type of,
229,Line,,2,,,26,6,None,Arrow,,Type of,
230,Line,,2,,,27,6,None,Arrow,,Type of,
231,Line,,2,,,33,26,None,Arrow,,Type of,
232,Line,,2,,,34,26,None,Arrow,,Type of,
233,Line,,2,,,61,36,None,Arrow,,Type of,
234,Line,,2,,,62,36,None,Arrow,,Type of,
235,Line,,2,,,63,36,None,Arrow,,Type of,
236,Line,,2,,,64,36,None,Arrow,,Type of,
237,Line,,2,,,50,17,None,Arrow,,Type of,
238,Line,,2,,,52,4,None,Arrow,,Part of,
239,Line,,2,,,53,4,None,Arrow,,Part of,
240,Line,,2,,,55,4,None,Arrow,,Part of,
241,Line,,2,,,61,4,None,Arrow,,Part of,
242,Line,,2,,,62,4,None,Arrow,,Part of,
243,Line,,2,,,63,4,None,Arrow,,Part of,
244,Line,,2,,,64,4,None,Arrow,,Part of,
245,Line,,2,,,86,55,None,Arrow,,Type of,
246,Line,,2,,,58,86,None,Arrow,,Type of,
247,Line,,2,,,37,36,None,Arrow,,Part of,
248,Line,,2,,,38,36,None,Arrow,,Part of,
249,Line,,2,,,39,36,None,Arrow,,Part of,
250,Line,,2,,,40,36,None,Arrow,,Part of,
251,Line,,2,,,41,36,None,Arrow,,Part of,
252,Line,,2,,,66,64,None,Arrow,,Part of,
253,Line,,2,,,70,68,None,Arrow,,Type of,
254,Line,,2,,,71,68,None,Arrow,,Type of,
255,Line,,2,,,72,68,None,Arrow,,Type of,
256,Line,,2,,,44,43,None,Arrow,,Type of,
257,Line,,2,,,46,43,None,Arrow,,Type of,
258,Line,,2,,,47,43,None,Arrow,,Type of,
259,Line,,2,,,48,43,None,Arrow,,Type of,
260,Line,,2,,,49,43,None,Arrow,,Type of,
261,Line,,2,,,82,84,None,Arrow,,Type of,
262,Line,,2,,,81,84,None,Arrow,,Type of,
263,Line,,2,,,79,84,None,Arrow,,Type of,
264,Line,,2,,,80,84,None,Arrow,,Type of,
265,Line,,2,,,76,86,None,Arrow,,Type of,
266,Line,,2,,,77,86,None,Arrow,,Type of,
267,Line,,2,,,78,86,None,Arrow,,Type of,
