Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,14. Ecological Model for Preventing Type 2 Diabetes - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes,2,,,,,,,,,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived susceptibility,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcome expectations,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived severity,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived benefits / costs ,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Internal incentive ,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs and knowledge ,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Community factors / neighbourhood surroundings,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Institutions / corporate interests / media,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Public policy,
13,Process,Flowchart Shapes,2,,,,,,,,Environmental factors ,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudes,
15,Process,Flowchart Shapes,2,,,,,,,,Normative beliefs,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Interpersonal factors,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Social influences: peers / family / community,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Social norms,
19,Process,Flowchart Shapes,2,,,,,,,,Cognitive factors  (intrapersonal) / cognitive arm of the model,
20,Process,Flowchart Shapes,2,,,,,,,,Community and environmental factors  / Environmental arm of the model,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural intention,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,External incentives,
30,Line,,2,,,9,14,None,Arrow,,,
35,Line,,2,,,13,15,None,Arrow,,,
40,Line,,2,,,21,72,None,Arrow,,relates through,
41,Line,,2,,,24,22,None,Arrow,,,
53,Line,,2,,,15,21,None,Arrow,,,
54,Line,,2,,,14,21,None,Arrow,,,
55,Line,,2,,,23,72,None,Arrow,,,
57,Line,,2,,,10,13,None,Arrow,,Part of,
58,Line,,2,,,11,13,None,Arrow,,Part of,
59,Line,,2,,,12,13,None,Arrow,,Part of,
60,Line,,2,,,18,15,None,Arrow,,Part of,
61,Line,,2,,,17,15,None,Arrow,,Part of,
62,Line,,2,,,16,15,None,Arrow,,Part of,
63,Line,,2,,,5,9,None,Arrow,,Part of,
64,Line,,2,,,7,9,None,Arrow,,Part of,
65,Line,,2,,,4,9,None,Arrow,,Part of,
66,Line,,2,,,6,9,None,Arrow,,Part of,
67,Line,,2,,,8,9,None,Arrow,,Part of,
68,Line,,2,,,9,19,None,Arrow,,Part of,
69,Line,,2,,,14,19,None,Arrow,,Part of,
70,Line,,2,,,13,20,None,Arrow,,Part of,
71,Line,,2,,,15,20,None,Arrow,,Part of,
72,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Behavioural intention' to 'Behaviour' Influences relationship,
73,Line,,2,,,72,22,None,Arrow,,relates to,
