Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,18. Focus Theory of Normative Conduct - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Descriptive norms,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Provincial norms,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Injunctive norms,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Norm focus,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Intention,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Norms,
11,Line,,2,,,9,23,None,Arrow,,relates through,
12,Line,,2,,,7,23,None,Arrow,,,
13,Line,,2,,,8,6,None,Arrow,,,
14,Line,,2,,,7,25,None,Arrow,,,
19,Line,,2,,,5,25,None,Arrow,,relates through,
20,Line,,2,,,4,9,None,Arrow,,Type of,
21,Line,,2,,,3,9,None,Arrow,,Type of,
22,Line,,2,,,5,9,None,Arrow,,Type of,
23,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Norms' to 'Behaviour' Influences relationship,
24,Line,,2,,,23,6,None,Arrow,,relates to,
25,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Injunctive norms' to 'Intention' Influences relationship,
26,Line,,2,,,25,8,None,Arrow,,relates to,
