Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,2. Affective Events Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Work environment features,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Work events,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Affective reactions,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Work attitudes,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Judgement-driven behaviours,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Affect-driven behaviours,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Dispositions,
10,Line,,2,,,3,4,None,Arrow,,,
11,Line,,2,,,4,33,None,Arrow,,relates through,
12,Line,,2,,,5,6,None,Arrow,,,
13,Line,,2,,,6,7,None,Arrow,,,
14,Line,,2,,,5,8,None,Arrow,,,
15,Line,,2,,,9,33,None,Arrow,,,
16,Line,,2,,,9,5,None,Arrow,,,
17,Line,,2,,,3,6,None,Arrow,,,
33,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Work events' to 'Affective reactions' Influences relationship,
34,Line,,2,,,33,5,None,Arrow,,relates to,
