Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,20. General Theory of Deviant Behaviour - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Negative membership group experiences ,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to comply,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to deviate,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-esteem motive ,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived availability of alternative deviant behaviour,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivated deviant behaviour,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Anticipation of positive consequences of deviant behaviour,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Negative self-attitudes,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-enhancing consequences,
12,Line,,2,,,3,10,None,Arrow,,,
13,Line,,2,,,10,23,None,Arrow,,relates through,
14,Line,,2,,,10,25,None,Arrow,,relates through,
15,Line,,2,,,6,23,None,Arrow,,,
16,Line,,2,,,6,25,None,Arrow,,,
17,Line,,2,,,4,7,None,Arrow,,,
18,Line,,2,,,5,7,None,Arrow,,,
19,Line,,2,,,7,27,None,Arrow,,relates through,
20,Line,,2,,,9,27,None,Arrow,,,
21,Line,,2,,,11,10,None,Arrow,,,
22,Line,,2,,,8,11,None,Arrow,,,
23,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Negative self-attitudes' to 'Motivation to comply' ​- relationship,
24,Line,,2,,,23,4,None,Arrow,,relates to,
25,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Negative self-attitudes' to 'Motivation to deviate' ​+ relationship,
26,Line,,2,,,25,5,None,Arrow,,relates to,
27,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Perceived availability of alternative deviant behaviour' to 'Motivated deviant behaviour' Influences relationship,
28,Line,,2,,,27,8,None,Arrow,,relates to,
