Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,22. Goal-Framing Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Smart norms,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Hedonic ,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Normative ,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Gain ,
7,Process,Flowchart Shapes/Containers,2,,,,,,,, Background goals,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Goals,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,"Principles, values, norms",
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Situational factors,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-enhancement values,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-transcendence values,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Hedonic values,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Egoistic values,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Altruistic values,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Biospheric values,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Symbols,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Injunctive norms,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Costliness of behaviour,
27,Line,,2,,,3,6,None,Arrow,,,
28,Line,,2,,,3,5,None,Arrow,,,
33,Line,,2,,,8,7,Arrow,Arrow,,Transition,
34,Line,,2,,,8,65,None,Arrow,,relates through,
35,Line,,2,,,7,65,None,Arrow,,,
50,Line,,2,,,25,8,None,Arrow,,,
52,Line,,2,,,4,8,None,Arrow,,Type of,
53,Line,,2,,,5,8,None,Arrow,,Type of,
54,Line,,2,,,6,8,None,Arrow,,Type of,
55,Line,,2,,,13,11,None,Arrow,,Type of,
56,Line,,2,,,14,11,None,Arrow,,Type of,
57,Line,,2,,,16,13,None,Arrow,,Type of,
58,Line,,2,,,17,13,None,Arrow,,Type of,
59,Line,,2,,,19,14,None,Arrow,,Type of,
60,Line,,2,,,20,14,None,Arrow,,Type of,
61,Line,,2,,,23,12,None,Arrow,,Type of,
62,Line,,2,,,22,12,None,Arrow,,Type of,
63,Line,,2,,,11,8,None,Arrow,,*,
64,Line,,2,,,12,8,None,Arrow,,*,
65,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Goals' to 'Behaviour' Influences relationship,
66,Line,,2,,,65,10,None,Arrow,,relates to,
