Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Comments
1,Document,,,,,,,,,Draft,24. Health Action Process Approach - FINAL,,
2,Page,,,,,,,,,,Page 1,,
3,Process,Flowchart Shapes,2,,,,,,,,Self-efficacy ,,
4,Process,Flowchart Shapes,2,,,,,,,,Action ,,
5,Process,Flowchart Shapes,2,,,,,,,,Coping planning ,,
6,Process,Flowchart Shapes,2,,,,,,,,Action planning ,,
7,Process,Flowchart Shapes,2,,,,,,,,Planning ,,
8,Process,Flowchart Shapes,2,,,,,,,,Intention ,,
9,Process,Flowchart Shapes,2,,,,,,,,Perceived severity ,,
10,Process,Flowchart Shapes,2,,,,,,,,Perceived vulnerability ,,
11,Process,Flowchart Shapes,2,,,,,,,,Risk perception ,,
12,Process,Flowchart Shapes,2,,,,,,,,Social ,,
13,Process,Flowchart Shapes,2,,,,,,,,Emotional ,,
14,Process,Flowchart Shapes,2,,,,,,,,Physical ,,
15,Process,Flowchart Shapes,2,,,,,,,,Outcome expectancies ,,
16,Process,Flowchart Shapes,2,,,,,,,,Recovery self-efficacy ,,
17,Process,Flowchart Shapes,2,,,,,,,,Maintenance self-efficacy ,,
18,Process,Flowchart Shapes,2,,,,,,,,Action self-efficacy ,,
23,Process,Flowchart Shapes,2,,,,,,,,Self-regulatory effort ,,
24,Process,Flowchart Shapes,2,,,,,,,,Self-monitoring ,,
25,Process,Flowchart Shapes,2,,,,,,,,Awareness of standards ,,
26,Process,Flowchart Shapes,2,,,,,,,,Action control ,,
27,Process,Flowchart Shapes,2,,,,,,,,Perceived social support ,,
29,Process,Flowchart Shapes,2,,,,,,,,Motivational phase ,,
30,Process,Flowchart Shapes,2,,,,,,,,Non-intenders ,,
31,Process,Flowchart Shapes,2,,,,,,,,Actors ,,
32,Process,Flowchart Shapes,2,,,,,,,,Action control ,,
33,Process,Flowchart Shapes,2,,,,,,,,Recovery self-efficacy ,,
34,Process,Flowchart Shapes,2,,,,,,,,Maintenance self-efficacy ,,
35,Process,Flowchart Shapes,2,,,,,,,,Planning ,,
36,Process,Flowchart Shapes,2,,,,,,,,Volitional phase ,,
37,Process,Flowchart Shapes,2,,,,,,,,Action self-efficacy ,,
38,Process,Flowchart Shapes,2,,,,,,,,Outcome expectancies ,,
39,Process,Flowchart Shapes,2,,,,,,,,Intenders ,,
40,Process,Flowchart Shapes,2,,,,,,,,Risk perception ,,
54,Line,,2,,,11,8,None,Arrow,,​+,,
55,Line,,2,,,15,8,None,Arrow,,​+,,
56,Line,,2,,,18,8,None,Arrow,,​+,,
60,Line,,2,,,8,7,None,Arrow,,,,
61,Line,,2,,,18,6,None,Arrow,,​+,,
62,Line,,2,,,17,4,None,Arrow,,​+,,
63,Line,,2,,,16,4,None,Arrow,,​+,,
64,Line,,2,,,27,8,None,Arrow,,,,
65,Line,,2,,,27,122,None,Arrow,,Transition,,
66,Line,,2,,,8,122,None,Arrow,,relates through,,
71,Line,,2,,,8,26,None,Arrow,,​+,,
72,Line,,2,,,26,4,Arrow,Arrow,,​+,​+,
73,Line,,2,,,16,26,None,Arrow,,​+,,
74,Line,,2,,,17,7,None,Arrow,,,,
84,Line,,2,,,30,124,None,Arrow,,relates through,,
85,Line,,2,,,39,126,None,Arrow,,relates through,,
90,Line,,2,,,38,124,None,Arrow,,​+,,
91,Line,,2,,,40,124,None,Arrow,,​+,,
92,Line,,2,,,37,124,None,Arrow,,​+,,
93,Line,,2,,,32,126,None,Arrow,,​+,,
94,Line,,2,,,33,126,None,Arrow,,​+,,
95,Line,,2,,,34,126,None,Arrow,,​+,,
96,Line,,2,,,35,126,None,Arrow,,​+,,
97,Line,,2,,,7,4,None,Arrow,,,,
98,Line,,2,,,18,3,None,Arrow,,Type of,,
99,Line,,2,,,17,3,None,Arrow,,Type of,,
100,Line,,2,,,16,3,None,Arrow,,Type of,,
101,Line,,2,,,13,15,None,Arrow,,Type of,,
102,Line,,2,,,14,15,None,Arrow,,Type of,,
103,Line,,2,,,12,15,None,Arrow,,Type of,,
104,Line,,2,,,10,11,None,Arrow,,*,,
105,Line,,2,,,9,11,None,Arrow,,*,,
106,Line,,2,,,6,7,None,Arrow,,Type of,,
107,Line,,2,,,5,7,None,Arrow,,Type of,,
108,Line,,2,,,25,26,None,Arrow,,Part of,,
109,Line,,2,,,24,26,None,Arrow,,Part of,,
110,Line,,2,,,23,26,None,Arrow,,Part of,,
111,Line,,2,,,30,29,None,Arrow,,Part of,,
112,Line,,2,,,38,29,None,Arrow,,Part of,,
113,Line,,2,,,40,29,None,Arrow,,Part of,,
114,Line,,2,,,37,29,None,Arrow,,Part of,,
115,Line,,2,,,39,36,None,Arrow,,Part of,,
116,Line,,2,,,39,36,None,Arrow,,Part of,,
117,Line,,2,,,31,36,None,Arrow,,Part of,,
118,Line,,2,,,35,36,None,Arrow,,Part of,,
119,Line,,2,,,34,36,None,Arrow,,Part of,,
120,Line,,2,,,33,36,None,Arrow,,Part of,,
121,Line,,2,,,32,36,None,Arrow,,Part of,,
122,Terminator,Flowchart Shapes,2,,,,,,,,the 'Intention' to 'Action' Influences relationship,,
123,Line,,2,,,122,4,None,Arrow,,relates to,,
124,Terminator,Flowchart Shapes,2,,,,,,,,the 'Non-intenders' to 'Intenders' Transitions to relationship,,
125,Line,,2,,,124,39,None,Arrow,,relates to,,
126,Terminator,Flowchart Shapes,2,,,,,,,,the 'Intenders' to 'Actors' Transitions to relationship,,
127,Line,,2,,,126,31,None,Arrow,,relates to,,
