Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,25. Health Behaviour Goal Model May 2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Expected consequences of target behaviour,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Health costs and benefits,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Emotional costs and benefits,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived competence,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Social influence,
8,Process,Flowchart Shapes,2,,,,,,,,Personal goal structure ,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Higher order goals,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Lower order goals,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Target behaviour,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Threat appraisal,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental characterstics,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal characteristics,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Precontemplation,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Contemplation,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Maintenance,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Initial behaviour change,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Regulatory processes,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Feedback mechansisms,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Feedforward mechansisms,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Action control processes,
28,Line,,2,,,4,5,Arrow,Arrow,,Correlation,
29,Line,,2,,,5,7,Arrow,Arrow,,Correlation,
30,Line,,2,,,7,6,Arrow,Arrow,,Correlation,
31,Line,,2,,,6,4,Arrow,Arrow,,Correlation,
32,Line,,2,,,6,5,Arrow,Arrow,,Correlation,
33,Line,,2,,,4,7,Arrow,Arrow,,Correlation,
38,Line,,2,,,3,8,None,Arrow,,,
39,Line,,2,,,8,3,None,Arrow,,Correlation,
45,Line,,2,,,14,10,None,Arrow,,,
46,Line,,2,,,15,14,None,Arrow,,,
47,Line,,2,,,16,14,None,Arrow,,,
48,Line,,2,,,15,3,None,Arrow,,,
49,Line,,2,,,16,3,None,Arrow,,,
50,Line,,2,,,17,109,None,Arrow,,relates through,
51,Line,,2,,,18,103,None,Arrow,,relates through,
52,Line,,2,,,18,101,None,Arrow,,relates through,
53,Line,,2,,,20,107,None,Arrow,,relates through,
54,Line,,2,,,20,105,None,Arrow,,relates through,
55,Line,,2,,,19,111,None,Arrow,,relates through,
59,Line,,2,,,15,101,None,Arrow,,,
60,Line,,2,,,3,101,None,Arrow,,,
61,Line,,2,,,3,103,None,Arrow,,,
62,Line,,2,,,15,105,None,Arrow,,,
63,Line,,2,,,21,107,None,Arrow,,,
68,Line,,2,,,21,109,None,Arrow,,,
69,Line,,2,,,21,105,None,Arrow,,,
71,Line,,2,,,21,103,None,Arrow,,,
73,Line,,2,,,3,107,None,Arrow,,,
74,Line,,2,,,15,107,None,Arrow,,,
75,Line,,2,,,21,101,None,Arrow,,,
76,Line,,2,,,15,111,None,Arrow,,,
78,Line,,2,,,21,111,None,Arrow,,,
79,Line,,2,,,3,103,None,Arrow,,,
80,Line,,2,,,9,8,None,Arrow,,Part of,
81,Line,,2,,,10,8,None,Arrow,,Part of,
82,Line,,2,,,13,107,None,Arrow,,*,
83,Line,,2,,,13,105,None,Arrow,,*,
84,Line,,2,,,13,109,None,Arrow,,*,
85,Line,,2,,,13,103,None,Arrow,,*,
86,Line,,2,,,13,101,None,Arrow,,*,
87,Line,,2,,,13,111,None,Arrow,,*,
88,Line,,2,,,8,107,None,Arrow,,*,
89,Line,,2,,,8,105,None,Arrow,,*,
90,Line,,2,,,8,109,None,Arrow,,*,
91,Line,,2,,,8,103,None,Arrow,,*,
92,Line,,2,,,8,101,None,Arrow,,*,
93,Line,,2,,,8,111,None,Arrow,,*,
94,Line,,2,,,25,21,None,Arrow,,Part of,
95,Line,,2,,,23,21,None,Arrow,,Part of,
96,Line,,2,,,24,21,None,Arrow,,Part of,
97,Line,,2,,,4,3,None,Arrow,,Part of,
98,Line,,2,,,5,3,None,Arrow,,Part of,
99,Line,,2,,,7,3,None,Arrow,,Part of,
100,Line,,2,,,6,3,None,Arrow,,Part of,
101,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Contemplation' to 'Initial behaviour change' Transitions to relationship,
102,Line,,2,,,101,20,None,Arrow,,relates to,
103,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Contemplation' to 'Precontemplation' Transitions to relationship,
104,Line,,2,,,103,17,None,Arrow,,relates to,
105,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Initial behaviour change' to 'Maintenance' Transitions to relationship,
106,Line,,2,,,105,19,None,Arrow,,relates to,
107,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Initial behaviour change' to 'Contemplation' Transitions to relationship,
108,Line,,2,,,107,18,None,Arrow,,relates to,
109,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Precontemplation' to 'Contemplation' Transitions to relationship,
110,Line,,2,,,109,18,None,Arrow,,relates to,
111,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Maintenance' to 'Initial behaviour change' Transitions to relationship,
112,Line,,2,,,111,20,None,Arrow,,relates to,
