Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,28. Health Promotion Model - FINAL + corrections May2020,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal factors,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived benefits of action,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived barriers to action,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived self-efficacy,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Interpersonal influences ,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Situational influences,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Immediate competing demands and preferences,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Affect,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Commitment to a plan of action,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Health promoting behaviour,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Biological ,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Socio-cultural,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Psychological,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Activity-related ,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-related,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Context-related,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Cognitions,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Norms,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Modelling,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Social support,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Prior related behaviour,
46,Line,,2,,,3,12,None,Arrow,,,
47,Line,,2,,,3,20,None,Arrow,,,
49,Line,,2,,,25,20,None,Arrow,,,
50,Line,,2,,,25,10,None,Arrow,,,
51,Line,,2,,,25,12,None,Arrow,,,
52,Line,,2,,,4,11,None,Arrow,,​+,
53,Line,,2,,,5,12,None,Arrow,,,
54,Line,,2,,,5,11,None,Arrow,,​-,
55,Line,,2,,,6,5,None,Arrow,,​-,
56,Line,,2,,,6,12,None,Arrow,,,
57,Line,,2,,,11,12,None,Arrow,,​+,
58,Line,,2,,,6,11,None,Arrow,,​+,
59,Line,,2,,,10,6,Arrow,Arrow,,​+,
60,Line,,2,,,7,11,None,Arrow,,,
61,Line,,2,,,8,11,None,Arrow,,,
63,Line,,2,,,9,11,None,Arrow,,​-,
64,Line,,2,,,3,10,None,Arrow,,,
65,Line,,2,,,10,11,None,Arrow,,​+,
66,Line,,2,,,10,12,None,Arrow,,​+/-,
67,Line,,2,,,7,12,None,Arrow,,,
68,Line,,2,,,13,3,None,Arrow,,Part of,
69,Line,,2,,,15,3,None,Arrow,,Part of,
70,Line,,2,,,14,3,None,Arrow,,Part of,
71,Line,,2,,,4,20,None,Arrow,,Part of,
72,Line,,2,,,5,20,None,Arrow,,Part of,
73,Line,,2,,,6,20,None,Arrow,,Part of,
74,Line,,2,,,10,20,None,Arrow,,Part of,
75,Line,,2,,,7,20,None,Arrow,,Part of,
76,Line,,2,,,8,20,None,Arrow,,Part of,
77,Line,,2,,,9,20,None,Arrow,,Part of,
78,Line,,2,,,17,10,None,Arrow,,Part of,
79,Line,,2,,,18,10,None,Arrow,,Part of,
80,Line,,2,,,19,10,None,Arrow,,Part of,
81,Line,,2,,,23,7,None,Arrow,,Part of,
82,Line,,2,,,22,7,None,Arrow,,Part of,
83,Line,,2,,,24,7,None,Arrow,,Part of,
