Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,3. AIDS Risk Reduction Model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Labelling,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Commitment,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Knowledge,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Response efficacy,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Enjoyment,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Social networks and norms,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Aversive emotional states,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Transmission knowledge,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived susceptibility,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about the undesirability of AIDS,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Information-seeking,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Enacting solutions,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Obtaining remedies,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Drug consumption,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Environmental cues,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Partner engagement,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Social factors,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Reference group norms,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Social support,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived costs and benefits of changing behaviour,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Enactment,
28,Line,,2,,,3,69,Arrow,Arrow,,relates through,
29,Line,,2,,,4,71,Arrow,Arrow,,relates through,
30,Line,,2,,,11,3,None,Arrow,,,
31,Line,,2,,,9,3,None,Arrow,,,
32,Line,,2,,,12,3,None,Arrow,,,
33,Line,,2,,,6,4,None,Arrow,,,
34,Line,,2,,,17,10,None,Arrow,,,
35,Line,,2,,,10,69,None,Arrow,,,
36,Line,,2,,,10,71,None,Arrow,,,
37,Line,,2,,,18,71,None,Arrow,,,
38,Line,,2,,,26,73,Arrow,Arrow,,relates through,
39,Line,,2,,,19,69,None,Arrow,,,
40,Line,,2,,,19,71,None,Arrow,,,
44,Line,,2,,,21,6,None,Arrow,,,
47,Line,,2,,,24,4,None,Arrow,,,
48,Line,,2,,,5,24,None,Arrow,,,
49,Line,,2,,,13,3,None,Arrow,,,
54,Line,,2,,,14,16,Arrow,Arrow,,Transition,
55,Line,,2,,,16,15,Arrow,Arrow,,Transition,
56,Line,,2,,,19,73,None,Arrow,,,
57,Line,,2,,,10,73,None,Arrow,,,
58,Line,,2,,,18,73,None,Arrow,,,
59,Line,,2,,,18,69,None,Arrow,,,
61,Line,,2,,,22,24,None,Arrow,,,
62,Line,,2,,,21,20,None,Arrow,,Type of,
63,Line,,2,,,22,20,None,Arrow,,Type of,
64,Line,,2,,,8,24,None,Arrow,,*,
65,Line,,2,,,7,24,None,Arrow,,*,
66,Line,,2,,,16,26,None,Arrow,,Part of,
67,Line,,2,,,14,26,None,Arrow,,Part of,
68,Line,,2,,,15,26,None,Arrow,,Part of,
69,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Labelling' to 'Commitment' Transitions to relationship,
70,Line,,2,,,69,4,Arrow,Arrow,,relates to,
71,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Commitment' to 'Enactment' Transitions to relationship,
72,Line,,2,,,71,26,Arrow,Arrow,,relates to,
73,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Enactment' to 'Labelling' Transitions to relationship,
74,Line,,2,,,73,3,Arrow,Arrow,,relates to,
