Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,34. Integrated Theory of Health Behaviour Change - FINAL,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes,2,,,,,,,,Knowledge and beliefs ,
4,Process,Flowchart Shapes,2,,,,,,,,Health status ,
5,Process,Flowchart Shapes,2,,,,,,,,Self-management behaviours / health behaviour change ,
6,Process,Flowchart Shapes,2,,,,,,,,Goal congruence ,
7,Process,Flowchart Shapes,2,,,,,,,,Outcome expectancy ,
8,Process,Flowchart Shapes,2,,,,,,,,Self-efficacy ,
9,Process,Flowchart Shapes,2,,,,,,,,Condition specific knowledge ,
10,Process,Flowchart Shapes,2,,,,,,,,"Collaboration between individuals, families, healthcare professionals ",
11,Process,Flowchart Shapes,2,,,,,,,,Social support ,
12,Process,Flowchart Shapes,2,,,,,,,,Social influence ,
13,Process,Flowchart Shapes,2,,,,,,,,Social facilitation ,
14,Process,Flowchart Shapes,2,,,,,,,,Managing emotions and responses ,
15,Process,Flowchart Shapes,2,,,,,,,,Planning ,
16,Process,Flowchart Shapes,2,,,,,,,,Decision making ,
17,Process,Flowchart Shapes,2,,,,,,,,Self evaluation ,
18,Process,Flowchart Shapes,2,,,,,,,,Self-monitoring and reflective thinking ,
19,Process,Flowchart Shapes,2,,,,,,,,Goal setting ,
20,Process,Flowchart Shapes,2,,,,,,,,Self-regulation skills and abilities ,
34,Line,,2,,,13,3,Arrow,Arrow,,Correlation,
36,Line,,2,,,13,20,Arrow,Arrow,,Correlation,
37,Line,,2,,,20,3,Arrow,Arrow,,Correlation,
38,Line,,2,,,20,5,None,Arrow,,​+,
39,Line,,2,,,13,5,None,Arrow,,​+,
40,Line,,2,,,9,5,None,Arrow,,​+,
41,Line,,2,,,8,5,None,Arrow,,​+,
42,Line,,2,,,7,5,None,Arrow,,​+,
43,Line,,2,,,6,5,None,Arrow,,​+,
44,Line,,2,,,5,4,None,Arrow,,​+,
50,Line,,2,,,9,3,None,Arrow,,Type of,
51,Line,,2,,,8,3,None,Arrow,,Type of,
52,Line,,2,,,6,3,None,Arrow,,Type of,
53,Line,,2,,,7,3,None,Arrow,,Type of,
54,Line,,2,,,19,20,None,Arrow,,Type of,
55,Line,,2,,,18,20,None,Arrow,,Type of,
56,Line,,2,,,17,20,None,Arrow,,Type of,
57,Line,,2,,,16,20,None,Arrow,,Type of,
58,Line,,2,,,15,20,None,Arrow,,Type of,
59,Line,,2,,,14,20,None,Arrow,,Type of,
60,Line,,2,,,12,13,None,Arrow,,Type of,
61,Line,,2,,,11,13,None,Arrow,,Type of,
62,Line,,2,,,10,13,None,Arrow,,Type of,
