Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,4. Behavioural Ecological Model of AIDS Prevention - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Antecedents,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Reinforcement history,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Peers,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Culture and gender roles,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,SES,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Family influences,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Genetics and biology,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Sexual partners,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Public schools,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Assertiveness and social skills,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Media,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,"Knowledge, attitudes, and self-efficacy",
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Risk behaviours,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Drug use and abuse,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Delinquency,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,High-risk sports,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Condom use / sexual behaviour,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Consequences,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Sexual pleasure / climax,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Partner's sexual pleasure,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Communication with others,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Peer / social reactions,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Family reactions,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,General community reactions,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Pregnancy or disease outcomes,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Hassles,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Minor discomfort,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Decreased sensitivity,
33,Process,Flowchart Shapes/Containers,2,,,,,,,,Multiple schedules,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Metacontingencies,
36,Process,Flowchart Shapes/Containers,2,,,,,,,,Dynamic systems,
37,Process,Flowchart Shapes/Containers,2,,,,,,,,Density of social reinforcement,
41,Line,,2,,,28,27,None,Arrow,,,
42,Line,,2,,,27,28,None,Arrow,,,
43,Line,,2,,,26,28,None,Arrow,,,
44,Line,,2,,,26,27,None,Arrow,,,
45,Line,,2,,,27,26,None,Arrow,,,
46,Line,,2,,,28,26,None,Arrow,,,
47,Line,,2,,,24,26,None,Arrow,,,
48,Line,,2,,,25,27,None,Arrow,,,
49,Line,,2,,,24,25,None,Arrow,,,
50,Line,,2,,,26,24,None,Arrow,,,
51,Line,,2,,,24,23,None,Arrow,,,
52,Line,,2,,,23,24,None,Arrow,,,
53,Line,,2,,,22,24,None,Arrow,,,
54,Line,,2,,,24,22,None,Arrow,,,
55,Line,,2,,,23,22,None,Arrow,,,
56,Line,,2,,,22,23,None,Arrow,,,
57,Line,,2,,,27,29,None,Arrow,,,
58,Line,,2,,,23,29,None,Arrow,,,
59,Line,,2,,,29,23,None,Arrow,,,
76,Line,,2,,,21,3,None,Arrow,,,
77,Line,,2,,,3,20,None,Arrow,,,
78,Line,,2,,,20,21,None,Arrow,,,
84,Line,,2,,,36,3,None,Arrow,,,
85,Line,,2,,,33,3,None,Arrow,,,
86,Line,,2,,,34,3,None,Arrow,,,
87,Line,,2,,,37,3,None,Arrow,,,
88,Line,,2,,,36,21,None,Arrow,,,
89,Line,,2,,,33,21,None,Arrow,,,
90,Line,,2,,,34,21,None,Arrow,,,
91,Line,,2,,,37,21,None,Arrow,,,
99,Line,,2,,,15,3,None,Arrow,,Part of,
100,Line,,2,,,13,3,None,Arrow,,Part of,
101,Line,,2,,,12,3,None,Arrow,,Part of,
102,Line,,2,,,9,3,None,Arrow,,Part of,
103,Line,,2,,,6,3,None,Arrow,,Part of,
104,Line,,2,,,8,3,None,Arrow,,Part of,
105,Line,,2,,,11,3,None,Arrow,,Part of,
106,Line,,2,,,7,3,None,Arrow,,Part of,
107,Line,,2,,,4,3,None,Arrow,,Part of,
108,Line,,2,,,5,3,None,Arrow,,Part of,
109,Line,,2,,,10,3,None,Arrow,,Part of,
110,Line,,2,,,14,3,None,Arrow,,Part of,
111,Line,,2,,,22,21,None,Arrow,,Part of,
112,Line,,2,,,23,21,None,Arrow,,Part of,
113,Line,,2,,,24,21,None,Arrow,,Part of,
114,Line,,2,,,25,21,None,Arrow,,Part of,
115,Line,,2,,,26,21,None,Arrow,,Part of,
116,Line,,2,,,27,21,None,Arrow,,Part of,
117,Line,,2,,,28,21,None,Arrow,,Part of,
118,Line,,2,,,29,21,None,Arrow,,Part of,
119,Line,,2,,,14,21,None,Arrow,,Part of,
120,Line,,2,,,30,29,None,Arrow,,Part of,
121,Line,,2,,,31,29,None,Arrow,,Part of,
122,Line,,2,,,16,15,None,Arrow,,Part of,
123,Line,,2,,,18,15,None,Arrow,,Part of,
124,Line,,2,,,17,15,None,Arrow,,Part of,
