Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,40. Motivation-Opportunities-Abilities - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Ability,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Opportunity,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Habits,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Task knowledge,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
13,Line,,2,,,3,20,None,Arrow,,relates through,
14,Line,,2,,,4,20,None,Arrow,,,
15,Line,,2,,,5,20,None,Arrow,,,
16,Line,,2,,,9,4,None,Arrow,,,
17,Line,,2,,,4,3,None,Arrow,,,
18,Line,,2,,,6,4,None,Arrow,,Part of,
19,Line,,2,,,7,4,None,Arrow,,Part of,
20,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Motivation' to 'Behaviour' Influences relationship,
21,Line,,2,,,20,9,None,Arrow,,relates to,
