Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,41. Needs-Opportunities-Abilities Model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes,2,,,,,,,,Macro / societal factors,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Technology,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Economy,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Demography,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Institutions,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Culture,
10,Process,Flowchart Shapes,2,,,,,,,,Needs,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Social relations,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Pleasure / arousal,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Health,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Status,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Freedom / control,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Development / education,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Beauty,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Privacy,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Safety,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Leisure time,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Nature / environment,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Work / labour,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Money,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Comfort,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Social justice,
27,Process,Flowchart Shapes,2,,,,,,,,Opportunities,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Social,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Technical,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical,
32,Process,Flowchart Shapes,2,,,,,,,,Abilities,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Financial,
35,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical,
36,Process,Flowchart Shapes/Containers,2,,,,,,,,Spatial,
37,Process,Flowchart Shapes/Containers,2,,,,,,,,Temporal,
38,Process,Flowchart Shapes/Containers,2,,,,,,,,Cognitive,
39,Process,Flowchart Shapes/Containers,2,,,,,,,,Opportunity search,
40,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to perform,
41,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural control,
42,Process,Flowchart Shapes/Containers,2,,,,,,,,Intention,
43,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
44,Process,Flowchart Shapes/Containers,2,,,,,,,,Consequences,
76,Line,,2,,,43,44,None,Arrow,,,
77,Line,,2,,,42,43,None,Arrow,,,
78,Line,,2,,,40,42,None,Arrow,,,
79,Line,,2,,,41,42,None,Arrow,,,
80,Line,,2,,,3,32,None,Arrow,,,
81,Line,,2,,,3,10,None,Arrow,,,
82,Line,,2,,,3,27,None,Arrow,,,
84,Line,,2,,,32,121,None,Arrow,,relates through,
85,Line,,2,,,39,27,None,Arrow,,,
86,Line,,2,,,27,123,None,Arrow,,relates through,
87,Line,,2,,,27,119,None,Arrow,,relates through,
88,Line,,2,,,32,119,None,Arrow,,,
89,Line,,2,,,10,121,None,Arrow,,,
90,Line,,2,,,10,123,None,Arrow,,,
91,Line,,2,,,4,3,None,Arrow,,Part of,
92,Line,,2,,,5,3,None,Arrow,,Part of,
93,Line,,2,,,6,3,None,Arrow,,Part of,
94,Line,,2,,,7,3,None,Arrow,,Part of,
95,Line,,2,,,8,3,None,Arrow,,Part of,
96,Line,,2,,,20,10,None,Arrow,,Part of,
97,Line,,2,,,13,10,None,Arrow,,Part of,
98,Line,,2,,,11,10,None,Arrow,,Part of,
99,Line,,2,,,12,10,None,Arrow,,Part of,
100,Line,,2,,,19,10,None,Arrow,,Part of,
101,Line,,2,,,16,10,None,Arrow,,Part of,
102,Line,,2,,,14,10,None,Arrow,,Part of,
103,Line,,2,,,21,10,None,Arrow,,Part of,
104,Line,,2,,,15,10,None,Arrow,,Part of,
105,Line,,2,,,17,10,None,Arrow,,Part of,
106,Line,,2,,,18,10,None,Arrow,,Part of,
107,Line,,2,,,22,10,None,Arrow,,Part of,
108,Line,,2,,,23,10,None,Arrow,,Part of,
109,Line,,2,,,24,10,None,Arrow,,Part of,
110,Line,,2,,,25,10,None,Arrow,,Part of,
111,Line,,2,,,28,27,None,Arrow,,Part of,
112,Line,,2,,,29,27,None,Arrow,,Part of,
113,Line,,2,,,30,27,None,Arrow,,Part of,
114,Line,,2,,,38,32,None,Arrow,,Part of,
115,Line,,2,,,37,32,None,Arrow,,Part of,
116,Line,,2,,,36,32,None,Arrow,,Part of,
117,Line,,2,,,35,32,None,Arrow,,Part of,
118,Line,,2,,,34,32,None,Arrow,,Part of,
119,Terminator,Flowchart Shapes,2,,,,,,,,the 'Opportunities' to 'Behavioural control' Influences relationship,
120,Line,,2,,,119,41,None,Arrow,,relates to,
121,Terminator,Flowchart Shapes,2,,,,,,,,the 'Abilities' to 'Opportunity search' Influences relationship,
122,Line,,2,,,121,39,None,Arrow,,relates to,
123,Terminator,Flowchart Shapes,2,,,,,,,,the 'Opportunities' to 'Motivation to perform' Influences relationship,
124,Line,,2,,,123,40,None,Arrow,,relates to,
