Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,44. Precaution Adoption Process Model FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Unaware of issue,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Maintenance,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Decided not to act,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Acting,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Decided to act,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Undecided about acting,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Unengaged by issue,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Unspecified influences (vary by transition),
11,Line,,2,,,3,39,Arrow,Arrow,,relates through,
12,Line,,2,,,9,41,Arrow,Arrow,,relates through,
13,Line,,2,,,8,33,Arrow,Arrow,,relates through,
14,Line,,2,,,7,37,Arrow,Arrow,,relates through,
15,Line,,2,,,6,35,Arrow,Arrow,,relates through,
16,Line,,2,,,8,43,Arrow,Arrow,,relates through,
17,Line,,2,,,10,33,None,Arrow,,,
18,Line,,2,,,10,35,None,Arrow,,,
19,Line,,2,,,10,37,None,Arrow,,,
20,Line,,2,,,10,39,None,Arrow,,,
21,Line,,2,,,10,41,None,Arrow,,,
22,Line,,2,,,10,43,None,Arrow,,,
23,Line,,2,,,4,7,None,Arrow,,Transition,
24,Line,,2,,,4,8,None,Arrow,,Transition,
25,Line,,2,,,4,9,None,Arrow,,Transition,
26,Line,,2,,,4,3,None,Arrow,,Transition,
27,Line,,2,,,6,3,None,Arrow,,Transition,
28,Line,,2,,,6,9,None,Arrow,,Transition,
29,Line,,2,,,6,8,None,Arrow,,Transition,
30,Line,,2,,,7,9,None,Arrow,,Transition,
31,Line,,2,,,7,3,None,Arrow,,Transition,
32,Line,,2,,,8,3,None,Arrow,,Transition,
33,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Undecided about acting' to 'Decided to act' Transitions to relationship,
34,Line,,2,,,33,7,Arrow,Arrow,,relates to,
35,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Acting' to 'Maintenance' Transitions to relationship,
36,Line,,2,,,35,4,Arrow,Arrow,,relates to,
37,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Decided to act' to 'Acting' Transitions to relationship,
38,Line,,2,,,37,6,Arrow,Arrow,,relates to,
39,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Unaware of issue' to 'Unengaged by issue' Transitions to relationship,
40,Line,,2,,,39,9,Arrow,Arrow,,relates to,
41,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Unengaged by issue' to 'Undecided about acting' Transitions to relationship,
42,Line,,2,,,41,8,Arrow,Arrow,,relates to,
43,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Undecided about acting' to 'Decided not to act' Transitions to relationship,
44,Line,,2,,,43,5,Arrow,Arrow,,relates to,
