Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,48. Prospect theory - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Prospect,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Combination,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Segregation,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Cancellation,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Simplification,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Detection of dominance,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Certainty effect,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Isolation effect,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Decision weights,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Subjective values,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Choice / behaviour,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Reference point,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Gains,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Losses,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Edited prospects,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Coding,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Editing phase ,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Evaluation phase,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Possibility effect,
37,Line,,2,,,3,73,None,Arrow,,relates through,
43,Line,,2,,,9,11,None,Arrow,,,
44,Line,,2,,,18,11,None,Arrow,,,
45,Line,,2,,,18,12,None,Arrow,,,
51,Line,,2,,,22,73,None,Arrow,,,
55,Line,,2,,,20,18,None,Arrow,,Type of,
56,Line,,2,,,15,18,None,Arrow,,Type of,
57,Line,,2,,,16,18,None,Arrow,,Type of,
58,Line,,2,,,14,20,None,Arrow,,*,
59,Line,,2,,,3,20,None,Arrow,,*,
60,Line,,2,,,5,22,None,Arrow,,Part of,
61,Line,,2,,,9,22,None,Arrow,,Part of,
62,Line,,2,,,10,22,None,Arrow,,Part of,
63,Line,,2,,,8,22,None,Arrow,,Part of,
64,Line,,2,,,7,22,None,Arrow,,Part of,
65,Line,,2,,,6,22,None,Arrow,,Part of,
66,Line,,2,,,20,22,None,Arrow,,Part of,
67,Line,,2,,,4,22,None,Arrow,,Part of,
68,Line,,2,,,26,22,None,Arrow,,Part of,
69,Line,,2,,,11,13,None,Arrow,,*,
70,Line,,2,,,12,13,None,Arrow,,*,
71,Line,,2,,,11,24,None,Arrow,,Part of,
72,Line,,2,,,12,24,None,Arrow,,Part of,
73,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Prospect' to 'Edited prospects' Transitions to relationship,
74,Line,,2,,,73,18,None,Arrow,,relates to,
