Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Comments
1,Document,,,,,,,,,Draft,5. CEOS Theory - RW,,
2,Page,,,,,,,,,,Page 1,,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Operational system,,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Executive system,,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Context,,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Need states,,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Analysis of inputs,,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Action generation,,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Skill base,,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Sensory environment,,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical environment,,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical states,,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Goals,,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,"Decisions, plans and scripts",,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Conscious analysis and interpretation of inputs,,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Memories,,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Conceptual model of the world and self,,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceptions,,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Needs,,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Impulses,,
24,Line,,2,,,3,4,None,Arrow,,,,
25,Line,,2,,,5,3,None,Arrow,,,,
26,Line,,2,,,4,13,None,Arrow,,,,
27,Line,,2,,,6,3,None,Arrow,,,,
28,Line,,2,,,4,3,None,Arrow,,,,
29,Line,,2,,,3,5,None,Arrow,,,,
31,Line,,2,,,7,8,None,Arrow,,,,
32,Line,,2,,,8,7,None,Arrow,,,,
33,Line,,2,,,8,9,None,Arrow,,,,
34,Line,,2,,,9,8,None,Arrow,,,,
35,Line,,2,,,10,9,None,Arrow,,,,
36,Line,,2,,,9,4,None,Arrow,,,,
37,Line,,2,,,12,6,None,Arrow,,Part of,,
38,Line,,2,,,13,6,None,Arrow,,Part of,,
39,Line,,2,,,12,8,None,Arrow,,,,
40,Line,,2,,,14,5,None,Arrow,,,,
41,Line,,2,,,14,3,None,Arrow,,,,
42,Line,,2,,,14,7,None,Arrow,,,,
43,Line,,2,,,4,12,None,Arrow,,,,
44,Line,,2,,,16,3,None,Arrow,,,,
45,Line,,2,,,15,16,None,Arrow,,,,
46,Line,,2,,,15,17,None,Arrow,,,,
47,Line,,2,,,17,15,None,Arrow,,,,
48,Line,,2,,,20,17,None,Arrow,,,,
49,Line,,2,,,21,17,None,Arrow,,,,
50,Line,,2,,,22,17,None,Arrow,,,,
51,Line,,2,,,20,18,None,Arrow,,,,
52,Line,,2,,,21,18,None,Arrow,,,,
53,Line,,2,,,22,18,None,Arrow,,,,
54,Line,,2,,,18,17,None,Arrow,,,,
55,Line,,2,,,19,17,None,Arrow,,,,
56,Line,,2,,,17,16,None,Arrow,,,,
58,Line,,2,,,3,20,None,Arrow,,,,
59,Line,,2,,,3,21,None,Arrow,,,,
60,Line,,2,,,3,22,None,Arrow,,,,
61,Line,,2,,,3,18,None,Arrow,,,,
62,Line,,2,,,13,14,None,Arrow,,,,
63,Line,,2,,,7,3,None,Arrow,,Part of,,
64,Line,,2,,,8,3,None,Arrow,,Part of,,
65,Line,,2,,,9,3,None,Arrow,,Part of,,
66,Line,,2,,,10,3,None,Arrow,,Part of,,
67,Line,,2,,,15,5,None,Arrow,,Part of,,
68,Line,,2,,,16,5,None,Arrow,,Part of,,
69,Line,,2,,,17,5,None,Arrow,,Part of,,
70,Line,,2,,,18,5,None,Arrow,,Part of,,
71,Line,,2,,,19,5,None,Arrow,,Part of,,
72,Line,,2,,,20,5,None,Arrow,,Part of,,
73,Line,,2,,,21,5,None,Arrow,,Part of,,
74,Line,,2,,,22,5,None,Arrow,,Part of,,
