Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,53. Regulatory Fit Theory - FINAL,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes,2,,,,,,,,Goal pursuit ,
4,Process,Flowchart Shapes,2,,,,,,,,Decision-making / behaviour ,
5,Process,Flowchart Shapes,2,,,,,,,,Value from worth ,
6,Process,Flowchart Shapes,2,,,,,,,,Retrospective evaluations ,
7,Process,Flowchart Shapes,2,,,,,,,,Value from fit ,
8,Process,Flowchart Shapes,2,,,,,,,,Strength of engagement / motivation ,
9,Process,Flowchart Shapes,2,,,,,,,,Regulatory fit ,
10,Process,Flowchart Shapes,2,,,,,,,,Prevention focus ,
11,Process,Flowchart Shapes,2,,,,,,,,Promotion focus ,
12,Process,Flowchart Shapes,2,,,,,,,,Motivational orientation ,
13,Process,Flowchart Shapes,2,,,,,,,,Vigilance means ,
14,Process,Flowchart Shapes,2,,,,,,,,Eagerness means ,
15,Process,Flowchart Shapes,2,,,,,,,,Goal means ,
19,Process,Flowchart Shapes,2,,,,,,,,Prospective evaluations ,
30,Line,,2,,,9,8,None,Arrow,,​+,
31,Line,,2,,,9,7,None,Arrow,,​+,
32,Line,,2,,,9,6,None,Arrow,,​+,
33,Line,,2,,,9,19,None,Arrow,,​+,
34,Line,,2,,,8,7,None,Arrow,,​+,
35,Line,,2,,,7,6,None,Arrow,,​+,
36,Line,,2,,,7,5,None,Arrow,,,
37,Line,,2,,,7,19,None,Arrow,,​+,
38,Line,,2,,,5,6,None,Arrow,,​+,
39,Line,,2,,,3,4,None,Arrow,,,
49,Line,,2,,,5,19,None,Arrow,,​+,
50,Line,,2,,,14,15,None,Arrow,,Type of,
51,Line,,2,,,13,15,None,Arrow,,Type of,
52,Line,,2,,,11,12,None,Arrow,,Type of,
53,Line,,2,,,10,12,None,Arrow,,Type of,
54,Line,,2,,,15,9,None,Arrow,,*,
55,Line,,2,,,12,9,None,Arrow,,*,
56,Line,,2,,,12,3,None,Arrow,,Part of,
57,Line,,2,,,15,3,None,Arrow,,Part of,
58,Line,,2,,,6,3,None,Arrow,,Part of,
59,Line,,2,,,19,3,None,Arrow,,Part of,
60,Line,,2,,,5,3,None,Arrow,,Part of,
61,Line,,2,,,7,3,None,Arrow,,Part of,
62,Line,,2,,,8,3,None,Arrow,,Part of,
63,Line,,2,,,9,3,None,Arrow,,Part of,
