Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,58. Self-Regulation Theory - FINAL + corrections May2020,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes,2,,,,,,,,Sources of control ,
4,Process,Flowchart Shapes,2,,,,,,,,Behaviour ,
5,Process,Flowchart Shapes,2,,,,,,,,Cues from repertoire of cognitive and self-directive variables,
6,Process,Flowchart Shapes,2,,,,,,,,Automatic processing ,
7,Process,Flowchart Shapes,2,,,,,,,,Controlled processing ,
8,Process,Flowchart Shapes,2,,,,,,,,Discrepancy ,
9,Process,Flowchart Shapes,2,,,,,,,,External attribution ,
10,Process,Flowchart Shapes,2,,,,,,,,Internal attribution ,
11,Process,Flowchart Shapes,2,,,,,,,,Attributional processes ,
12,Process,Flowchart Shapes,2,,,,,,,,Self-reinforcement ,
13,Process,Flowchart Shapes,2,,,,,,,,Self-reinforcement stage ,
14,Process,Flowchart Shapes,2,,,,,,,,Standards ,
15,Process,Flowchart Shapes,2,,,,,,,,Self-monitoring outcome ,
16,Process,Flowchart Shapes,2,,,,,,,,Self-evaluation stage ,
17,Process,Flowchart Shapes,2,,,,,,,,Perceptions of control ,
18,Process,Flowchart Shapes,2,,,,,,,,Relevance to goals ,
19,Process,Flowchart Shapes,2,,,,,,,,Self-monitoring stage ,
20,Process,Flowchart Shapes,2,,,,,,,,Self-regulation ,
21,Process,Flowchart Shapes,2,,,,,,,,Biological system ,
22,Process,Flowchart Shapes,2,,,,,,,,Immediate environment ,
31,Line,,2,,,19,90,None,Arrow,,relates through,
37,Line,,2,,,11,12,None,Arrow,,​+,
40,Line,,2,,,16,88,None,Arrow,,relates through,
42,Line,,2,,,8,88,None,Arrow,,,
59,Line,,2,,,13,4,None,Arrow,,​+/-,
60,Line,,2,,,4,19,None,Arrow,,,
61,Line,,2,,,17,90,None,Arrow,,,
62,Line,,2,,,18,90,None,Arrow,,,
67,Line,,2,,,3,19,None,Arrow,,,
68,Line,,2,,,15,16,None,Arrow,,Part of,
69,Line,,2,,,14,16,None,Arrow,,Part of,
70,Line,,2,,,15,8,None,Arrow,,*,
71,Line,,2,,,14,8,None,Arrow,,*,
72,Line,,2,,,10,11,None,Arrow,,Part of,
73,Line,,2,,,9,11,None,Arrow,,Part of,
74,Line,,2,,,12,13,None,Arrow,,Part of,
75,Line,,2,,,11,13,None,Arrow,,Part of,
76,Line,,2,,,19,20,None,Arrow,,Part of,
77,Line,,2,,,17,20,None,Arrow,,Part of,
78,Line,,2,,,18,20,None,Arrow,,Part of,
79,Line,,2,,,16,20,None,Arrow,,Part of,
80,Line,,2,,,8,20,None,Arrow,,Part of,
81,Line,,2,,,13,20,None,Arrow,,Part of,
82,Line,,2,,,20,7,None,Arrow,,Part of,
83,Line,,2,,,7,5,None,Arrow,,Part of,
84,Line,,2,,,6,5,None,Arrow,,Part of,
85,Line,,2,,,5,3,None,Arrow,,Part of,
86,Line,,2,,,22,3,None,Arrow,,Part of,
87,Line,,2,,,21,3,None,Arrow,,Part of,
88,Terminator,Flowchart Shapes,2,,,,,,,,the 'Self-evaluation stage' to 'Self-reinforcement stage' Transitions to relationship,
89,Line,,2,,,88,13,None,Arrow,,relates to,
90,Terminator,Flowchart Shapes,2,,,,,,,,the 'Self-monitoring stage' to 'Self-evaluation stage' Transitions to relationship,
91,Line,,2,,,90,16,None,Arrow,,relates to,
