Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,60. Social Action Theory (Ewart) - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Action state ,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Action contexts ,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Social,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Biological,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Mood / arousal,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Social interdependence,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-change processes,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Problem solving,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcome expectancies or outcomes?,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Generative capabilities,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Declarative knowledge schemas,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Procedural schemas,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Social interaction processes,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Contextual influences,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Settings,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Physical,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Social,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Tasks,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Relationship systems,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Organisational systems,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Temperament,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Biological conditions,
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Goal congruence,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Action linkage,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcomes,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Type,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,Immediacy,
33,Process,Flowchart Shapes/Containers,2,,,,,,,,Frequency,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Health protective action / health habits,
35,Process,Flowchart Shapes/Containers,2,,,,,,,,Attention control,
38,Process,Flowchart Shapes/Containers,2,,,,,,,,Cueing,
39,Process,Flowchart Shapes/Containers,2,,,,,,,,Direction and mode,
40,Process,Flowchart Shapes/Containers,2,,,,,,,,Constructive thinking,
41,Process,Flowchart Shapes/Containers,2,,,,,,,,Action planning,
43,Process,Flowchart Shapes/Containers,2,,,,,,,,Proactive simulation,
44,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation,
47,Process,Flowchart Shapes/Containers,2,,,,,,,,Orientation,
48,Process,Flowchart Shapes/Containers,2,,,,,,,,Engagement,
49,Process,Flowchart Shapes/Containers,2,,,,,,,,Control,
52,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-regulatory resources,
55,Process,Flowchart Shapes/Containers,2,,,,,,,,Incentive portfolio,
57,Process,Flowchart Shapes/Containers,2,,,,,,,,Value,
58,Process,Flowchart Shapes/Containers,2,,,,,,,,Control,
59,Process,Flowchart Shapes/Containers,2,,,,,,,,Interpersonal portfolio,
60,Process,Flowchart Shapes/Containers,2,,,,,,,,Social-emotional competence,
61,Process,Flowchart Shapes/Containers,2,,,,,,,,Social knowledge,
63,Process,Flowchart Shapes/Containers,2,,,,,,,,Emotion scipts,
64,Process,Flowchart Shapes/Containers,2,,,,,,,,Social power,
66,Process,Flowchart Shapes/Containers,2,,,,,,,,Dyads,
67,Process,Flowchart Shapes/Containers,2,,,,,,,,Coalitions,
68,Process,Flowchart Shapes/Containers,2,,,,,,,,Hierarchies,
69,Process,Flowchart Shapes/Containers,2,,,,,,,,Assets,
71,Process,Flowchart Shapes/Containers,2,,,,,,,,Appetitive,
72,Process,Flowchart Shapes/Containers,2,,,,,,,,Mobility,
73,Process,Flowchart Shapes/Containers,2,,,,,,,,Generative,
78,Line,,2,,,19,14,None,Arrow,,,
79,Line,,2,,,30,44,None,Arrow,,,
87,Line,,2,,,9,30,None,Arrow,,,
88,Line,,2,,,34,9,None,Arrow,,,
89,Line,,2,,,34,30,None,Arrow,,,
90,Line,,2,,,30,34,None,Arrow,,,
100,Line,,2,,,14,40,None,Arrow,,,
101,Line,,2,,,44,40,None,Arrow,,,
102,Line,,2,,,14,44,None,Arrow,,,
106,Line,,2,,,17,44,None,Arrow,,,
107,Line,,2,,,17,40,None,Arrow,,,
116,Line,,2,,,10,3,None,Arrow,,,
120,Line,,2,,,18,10,None,Arrow,,,
131,Line,,2,,,64,224,None,Arrow,,relates through,
132,Line,,2,,,52,222,None,Arrow,,relates through,
137,Line,,2,,,69,228,None,Arrow,,relates through,
138,Line,,2,,,69,220,None,Arrow,,relates through,
139,Line,,2,,,52,218,None,Arrow,,relates through,
140,Line,,2,,,64,226,None,Arrow,,relates through,
141,Line,,2,,,60,218,None,Arrow,,,
142,Line,,2,,,60,220,None,Arrow,,,
143,Line,,2,,,60,222,None,Arrow,,,
144,Line,,2,,,60,224,None,Arrow,,,
145,Line,,2,,,60,226,None,Arrow,,,
146,Line,,2,,,60,228,None,Arrow,,,
152,Line,,2,,,4,14,None,Arrow,,,
153,Line,,2,,,4,17,None,Arrow,,,
161,Line,,2,,,19,17,None,Arrow,,,
166,Line,,2,,,24,17,None,Arrow,,,
167,Line,,2,,,23,14,None,Arrow,,,
168,Line,,2,,,24,14,None,Arrow,,,
169,Line,,2,,,23,17,None,Arrow,,,
170,Line,,2,,,25,17,None,Arrow,,,
171,Line,,2,,,25,14,None,Arrow,,,
172,Line,,2,,,26,17,None,Arrow,,,
173,Line,,2,,,26,14,None,Arrow,,,
174,Line,,2,,,29,9,None,Arrow,,Part of,
175,Line,,2,,,28,9,None,Arrow,,Part of,
176,Line,,2,,,35,14,None,Arrow,,Part of,
177,Line,,2,,,15,14,None,Arrow,,Part of,
178,Line,,2,,,16,14,None,Arrow,,Part of,
179,Line,,2,,,39,35,None,Arrow,,Part of,
180,Line,,2,,,38,35,None,Arrow,,Part of,
181,Line,,2,,,43,40,None,Arrow,,Part of,
182,Line,,2,,,41,40,None,Arrow,,Part of,
183,Line,,2,,,11,40,None,Arrow,,Part of,
184,Line,,2,,,12,44,None,Arrow,,Part of,
185,Line,,2,,,13,44,None,Arrow,,Part of,
