Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,65. Social Development Model - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Delinquent / non-delinquent Behaviour,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Social Bonding,
6,Process,Flowchart Shapes/Containers,2,,,,,,,, Belief (prosocial / antisocial),
7,Process,Flowchart Shapes/Containers,2,,,,,,,, Attachment (prosocial / antisocial),
8,Process,Flowchart Shapes/Containers,2,,,,,,,, Commitment (prosocial / antisocial),
9,Process,Flowchart Shapes/Containers,2,,,,,,,, Involvement (prosocial / antisocial),
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Skills for Involvement,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Reinforcement for  involvement (prosocial / antisocial),
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Opportunities for  involvement (prosocial / antisocial),
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Sex,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,SES,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Race,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,School,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Family,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Peers,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Units of Socialisation,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Communities,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,External constraints,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Position in the social structure,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Constitutional factors,
31,Line,,2,,,4,3,None,Arrow,,,
32,Line,,2,,,9,4,None,Arrow,,,
41,Line,,2,,,21,3,None,Arrow,,,
43,Line,,2,,,21,10,None,Arrow,,,
44,Line,,2,,,21,13,None,Arrow,,,
45,Line,,2,,,23,3,None,Arrow,,,
50,Line,,2,,,21,11,None,Arrow,,,
51,Line,,2,,,24,13,None,Arrow,,,
52,Line,,2,,,26,11,None,Arrow,,,
53,Line,,2,,,26,13,None,Arrow,,,
54,Line,,2,,,21,4,None,Arrow,,,
55,Line,,2,,,4,21,None,Arrow,,,
56,Line,,2,,,8,4,None,Arrow,,Part of,
57,Line,,2,,,6,4,None,Arrow,,Part of,
58,Line,,2,,,7,4,None,Arrow,,Part of,
59,Line,,2,,,10,9,None,Arrow,,*,
60,Line,,2,,,11,9,None,Arrow,,*,
61,Line,,2,,,13,9,None,Arrow,,*,
62,Line,,2,,,17,21,None,Arrow,,Type of,
63,Line,,2,,,18,21,None,Arrow,,Type of,
64,Line,,2,,,19,21,None,Arrow,,Type of,
65,Line,,2,,,22,21,None,Arrow,,Type of,
66,Line,,2,,,14,24,None,Arrow,,Part of,
67,Line,,2,,,15,24,None,Arrow,,Part of,
68,Line,,2,,,16,24,None,Arrow,,Part of,
69,Line,,2,,,8,4,None,Arrow,,Part of,
70,Line,,2,,,6,4,None,Arrow,,Part of,
71,Line,,2,,,7,4,None,Arrow,,Part of,
72,Line,,2,,,10,9,None,Arrow,,*,
73,Line,,2,,,11,9,None,Arrow,,*,
74,Line,,2,,,13,9,None,Arrow,,*,
75,Line,,2,,,17,21,None,Arrow,,Type of,
76,Line,,2,,,18,21,None,Arrow,,Type of,
77,Line,,2,,,19,21,None,Arrow,,Type of,
78,Line,,2,,,22,21,None,Arrow,,Type of,
79,Line,,2,,,14,24,None,Arrow,,Part of,
80,Line,,2,,,15,24,None,Arrow,,Part of,
81,Line,,2,,,16,24,None,Arrow,,Part of,
