Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,67. Social Ecological Model of Walking - FINAL,
2,Page,,,,,,,,,,New Page,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Feasibility ,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Accessibility,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Safety,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Comfort,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Pleasurability,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Antecedents / environmental factors ,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Walking,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Affordances/ Perceived environmental factors,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivations,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Habits,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceptions,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Life cycle circumstances,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Individual level,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Group level  ,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Regional level,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Type,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Duration,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Hierarchy of walking needs,
25,Line,,2,,,4,5,None,Arrow,,,
26,Line,,2,,,5,6,None,Arrow,,,
27,Line,,2,,,6,7,None,Arrow,,,
28,Line,,2,,,7,8,None,Arrow,,,
35,Line,,2,,,15,62,None,Arrow,,,
36,Line,,2,,,13,62,None,Arrow,,,
37,Line,,2,,,14,62,None,Arrow,,,
38,Line,,2,,,10,62,None,Arrow,,relates through,
39,Line,,2,,,12,64,None,Arrow,,relates through,
44,Line,,2,,,16,64,None,Arrow,,,
45,Line,,2,,,16,62,None,Arrow,,,
51,Line,,2,,,17,16,None,Arrow,,Type of,
52,Line,,2,,,18,16,None,Arrow,,Type of,
53,Line,,2,,,19,16,None,Arrow,,Type of,
54,Line,,2,,,4,23,None,Arrow,,Part of,
55,Line,,2,,,5,23,None,Arrow,,Part of,
56,Line,,2,,,6,23,None,Arrow,,Part of,
57,Line,,2,,,7,23,None,Arrow,,Part of,
58,Line,,2,,,8,23,None,Arrow,,Part of,
59,Line,,2,,,21,11,None,Arrow,,Part of,
60,Line,,2,,,20,11,None,Arrow,,Part of,
61,Line,,2,,,23,10,None,Arrow,,Part of,
62,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Antecedents / environmental factors' to 'Affordances/ Perceived environmental factors' Influences relationship,
63,Line,,2,,,62,12,None,Arrow,,relates to,
64,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Affordances/ Perceived environmental factors' to 'Walking' Influences relationship,
65,Line,,2,,,64,11,None,Arrow,,relates to,
