Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,70. Social Learning Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Drive,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Cue,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Innate drives,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Acquired drives,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Response,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Extinction,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Spontaneous recovery,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Generalisation,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Discrimination,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Anticipatory response,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Same behaviour,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Matched-dependent behaviour,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Copying,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Reward,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Innate rewards,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Acquired rewards,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Gradient of reward,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Imitation,
30,Line,,2,,,24,8,None,Arrow,,,
36,Line,,2,,,3,8,None,Arrow,,,
41,Line,,2,,,9,10,None,Arrow,,Transition,
42,Line,,2,,,10,8,None,Arrow,,,
45,Line,,2,,,12,4,None,Arrow,,,
47,Line,,2,,,11,4,None,Arrow,,,
49,Line,,2,,,23,17,None,Arrow,,,
50,Line,,2,,,11,13,None,Arrow,,,
51,Line,,2,,,9,8,None,Arrow,,​-,
52,Line,,2,,,10,8,None,Arrow,,​+,
53,Line,,2,,,13,23,Arrow,Arrow,,Correlation,
54,Line,,2,,,6,3,Arrow,Arrow,,Type of,
55,Line,,2,,,7,3,Arrow,Arrow,,Type of,
56,Line,,2,,,19,17,Arrow,Arrow,,Type of,
57,Line,,2,,,20,17,Arrow,Arrow,,Type of,
58,Line,,2,,,8,3,Arrow,Arrow,,*,
59,Line,,2,,,8,8,Arrow,Arrow,,*,
60,Line,,2,,,8,9,Arrow,Arrow,,*,
61,Line,,2,,,8,12,Arrow,Arrow,,*,
62,Line,,2,,,8,11,Arrow,Arrow,,*,
63,Line,,2,,,8,23,Arrow,Arrow,,*,
64,Line,,2,,,17,3,Arrow,Arrow,,*,
65,Line,,2,,,17,8,Arrow,Arrow,,*,
66,Line,,2,,,17,9,Arrow,Arrow,,*,
67,Line,,2,,,17,12,Arrow,Arrow,,*,
68,Line,,2,,,17,11,Arrow,Arrow,,*,
69,Line,,2,,,17,23,Arrow,Arrow,,*,
70,Line,,2,,,15,24,Arrow,Arrow,,Type of,
71,Line,,2,,,14,24,Arrow,Arrow,,Type of,
72,Line,,2,,,16,24,Arrow,Arrow,,Type of,
