Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,72. Systems model of behaviour change - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,External antecedent condition,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal antecedent condition,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Socio-psychological condition,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural condition,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Parental and hereditary / genetic process,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Socio-cultural environmental milieu ,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal demographic dynamics,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal socialisation process,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal health dynamics,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception of self,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception of social influence,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception of health status,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Perception of environmental factors,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Intention formation process,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural repertoire,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour change / maintenance,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudinal variables,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to comply,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Health beliefs,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Beliefs about incentives / barriers for health behaviour,
24,Process,Flowchart Shapes/Containers,2,,,,,,,,Skills / behaviours,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Health behaviours,
26,Process,Flowchart Shapes/Containers,2,,,,,,,,Personal demographic characteristics,
27,Process,Flowchart Shapes/Containers,2,,,,,,,,"Birthdate, sex",
28,Process,Flowchart Shapes/Containers,2,,,,,,,,Family structure,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Basic physiological make-up,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Health environmental factors,
31,Process,Flowchart Shapes/Containers,2,,,,,,,,Social influences,
35,Process,Flowchart Shapes/Containers,2,,,,,,,,Health intention,
38,Process,Flowchart Shapes/Containers,2,,,,,,,,Health status,
68,Line,,2,,,27,10,None,Arrow,,,
69,Line,,2,,,10,26,None,Arrow,,,
70,Line,,2,,,11,31,None,Arrow,,,
71,Line,,2,,,12,38,None,Arrow,,,
72,Line,,2,,,29,12,None,Arrow,,,
73,Line,,2,,,26,11,None,Arrow,,,
74,Line,,2,,,8,29,None,Arrow,,,
75,Line,,2,,,30,16,None,Arrow,,,
76,Line,,2,,,13,14,None,Arrow,,,
77,Line,,2,,,14,13,None,Arrow,,,
78,Line,,2,,,15,14,None,Arrow,,,
79,Line,,2,,,14,15,None,Arrow,,,
80,Line,,2,,,15,16,None,Arrow,,,
81,Line,,2,,,16,15,None,Arrow,,,
82,Line,,2,,,15,22,None,Arrow,,,
83,Line,,2,,,22,17,None,Arrow,,,
84,Line,,2,,,38,15,None,Arrow,,,
85,Line,,2,,,31,14,None,Arrow,,,
86,Line,,2,,,14,21,None,Arrow,,,
