Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,74. Temporal Self-Regulation Theory FINAL + corrections May2020,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes,2,,,,,,,,Motivational sphere ,
4,Process,Flowchart Shapes,2,,,,,,,,Executive function ,
5,Process,Flowchart Shapes,2,,,,,,,,Observed behaviour ,
6,Process,Flowchart Shapes,2,,,,,,,,Behavioural pre-potency ,
7,Process,Flowchart Shapes,2,,,,,,,,Perceived temporal proximity ,
8,Process,Flowchart Shapes,2,,,,,,,,Value ,
9,Process,Flowchart Shapes,2,,,,,,,,Temporal valuations ,
10,Process,Flowchart Shapes,2,,,,,,,,Intentions ,
11,Process,Flowchart Shapes,2,,,,,,,,Connectedness beliefs ,
17,Line,,2,,,9,10,None,Arrow,,​+,
18,Line,,2,,,11,10,None,Arrow,,​+,
24,Line,,2,,,10,44,None,Arrow,,relates through,
25,Line,,2,,,6,44,None,Arrow,,​-,
26,Line,,2,,,4,44,None,Arrow,,​+,
27,Line,,2,,,4,5,None,Arrow,,​+,
28,Line,,2,,,6,5,None,Arrow,,​+,
29,Line,,2,,,5,6,None,Arrow,,,
30,Line,,2,,,5,4,None,Arrow,,,
31,Line,,2,,,5,11,None,Arrow,,,
32,Line,,2,,,5,9,None,Arrow,,,
36,Line,,2,,,4,6,None,Arrow,,,
37,Line,,2,,,8,9,None,Arrow,,*,
38,Line,,2,,,7,9,None,Arrow,,*,
39,Line,,2,,,8,9,None,Arrow,,Part of,
40,Line,,2,,,7,9,None,Arrow,,Part of,
41,Line,,2,,,9,3,None,Arrow,,Part of,
42,Line,,2,,,11,3,None,Arrow,,Part of,
43,Line,,2,,,10,3,None,Arrow,,Part of,
44,Terminator,Flowchart Shapes,2,,,,,,,,the 'Intentions' to 'Observed behaviour' ​+ relationship,
45,Line,,2,,,44,5,None,Arrow,,relates to,
