Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,75. Terror Management Theory - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Awareness of mortality,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Desire for continued life,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Potential terror,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Need for faith in cultural worldview ,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Need for self-esteem ,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Social behaviour,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Reduced potential for terror and anxiety,
14,Line,,2,,,5,8,None,Arrow,,​+,
15,Line,,2,,,5,7,None,Arrow,,​+,
16,Line,,2,,,7,9,None,Arrow,,,
17,Line,,2,,,8,9,None,Arrow,,,
18,Line,,2,,,9,10,None,Arrow,,,
19,Line,,2,,,3,5,None,Arrow,,*,
20,Line,,2,,,4,5,None,Arrow,,*,
