Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,76. Terror Management Health Model - FINAL + corrections May2020,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Health scenarios / threats,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Death thought activation,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Unconscious,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Conscious,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Relevance of behaviour for coping with threat,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Threat-avoidance outcomes,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Health behaviour-oriented outcomes ,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Relevance of behaviour for meaning and self-esteem,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Health-defeating outcomes,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Health-facilitating outcomes,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Relevance of behaviour for threat of creatureliness,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Avoidance of body-oriented health behaviour,
16,Line,,2,,,3,4,None,Arrow,,,
20,Line,,2,,,7,32,None,Arrow,,,
21,Line,,2,,,6,32,None,Arrow,,relates through,
22,Line,,2,,,6,34,None,Arrow,,relates through,
23,Line,,2,,,7,34,None,Arrow,,,
24,Line,,2,,,5,36,None,Arrow,,relates through,
25,Line,,2,,,5,38,None,Arrow,,relates through,
26,Line,,2,,,11,36,None,Arrow,,,
27,Line,,2,,,11,38,None,Arrow,,,
28,Line,,2,,,5,40,None,Arrow,,relates through,
29,Line,,2,,,14,40,None,Arrow,,,
30,Line,,2,,,6,4,None,Arrow,,Type of,
31,Line,,2,,,5,4,None,Arrow,,Type of,
32,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Conscious' to 'Threat-avoidance outcomes' Influences relationship,
33,Line,,2,,,32,8,None,Arrow,,relates to,
34,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Conscious' to 'Health behaviour-oriented outcomes' Influences relationship,
35,Line,,2,,,34,10,None,Arrow,,relates to,
36,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Unconscious' to 'Health-defeating outcomes' Influences relationship,
37,Line,,2,,,36,12,None,Arrow,,relates to,
38,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Unconscious' to 'Health-facilitating outcomes' Influences relationship,
39,Line,,2,,,38,13,None,Arrow,,relates to,
40,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Unconscious' to 'Avoidance of body-oriented health behaviour' Influences relationship,
41,Line,,2,,,40,15,None,Arrow,,relates to,
