Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,77. Theory of Interpersonal Behaviour - FINAL,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes,2,,,,,,,,Social factors ,
4,Process,Flowchart Shapes,2,,,,,,,,Goals ,
5,Process,Flowchart Shapes,2,,,,,,,,Acts / behaviour ,
6,Process,Flowchart Shapes,2,,,,,,,,Facilitating conditions ,
7,Process,Flowchart Shapes,2,,,,,,,,Habit ,
8,Process,Flowchart Shapes,2,,,,,,,,Specific behavioural intentions ,
9,Process,Flowchart Shapes,2,,,,,,,,Value of the perceived consequences ,
10,Process,Flowchart Shapes,2,,,,,,,,Value of consequences ,
11,Process,Flowchart Shapes,2,,,,,,,,Perceived probability of consequences ,
12,Process,Flowchart Shapes,2,,,,,,,,Affect (associated with the behaviour),
13,Process,Flowchart Shapes,2,,,,,,,,Cues (associated with behaviour) ,
14,Process,Flowchart Shapes,2,,,,,,,,Self-image / Self-concept ,
15,Process,Flowchart Shapes,2,,,,,,,,Self-monitoring ,
16,Process,Flowchart Shapes,2,,,,,,,,Contractual arrangements ,
17,Process,Flowchart Shapes,2,,,,,,,,General behavioural intentions ,
18,Process,Flowchart Shapes,2,,,,,,,,Roles ,
19,Process,Flowchart Shapes,2,,,,,,,,Norms / rules of behaviour ,
23,Line,,2,,,13,12,None,Arrow,,,
27,Line,,2,,,12,8,None,Arrow,,,
28,Line,,2,,,9,8,None,Arrow,,,
29,Line,,2,,,3,8,None,Arrow,,,
30,Line,,2,,,8,51,None,Arrow,,relates through,
31,Line,,2,,,5,4,None,Arrow,,,
32,Line,,2,,,7,49,None,Arrow,,relates through,
33,Line,,2,,,6,49,None,Arrow,,,
40,Line,,2,,,6,51,None,Arrow,,,
41,Line,,2,,,15,3,None,Arrow,,Part of,
42,Line,,2,,,19,3,None,Arrow,,Part of,
43,Line,,2,,,14,3,None,Arrow,,Part of,
44,Line,,2,,,18,3,None,Arrow,,Part of,
45,Line,,2,,,16,3,None,Arrow,,Part of,
46,Line,,2,,,17,3,None,Arrow,,Part of,
47,Line,,2,,,11,9,None,Arrow,,*,
48,Line,,2,,,10,9,None,Arrow,,*,
49,Terminator,Flowchart Shapes,2,,,,,,,,the 'Habit' to 'Acts / behaviour' Influences relationship,
50,Line,,2,,,49,5,None,Arrow,,relates to,
51,Terminator,Flowchart Shapes,2,,,,,,,,the 'Specific behavioural intentions' to 'Acts / behaviour' Influences relationship,
52,Line,,2,,,51,5,None,Arrow,,relates to,
