Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,78. Theory of Normative Social Behaviour - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Normative mechanisms,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Group identity,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Social approval,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Benefits to others,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Injunctive norms,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Descriptive norms,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Norms,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcome expectations,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Benefits to oneself,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Anticipatory socialisation,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Similarity,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Aspirations,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,External monitoring,
22,Process,Flowchart Shapes/Containers,2,,,,,,,,Issue familiarity,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Interpersonal communication,
34,Line,,2,,,10,55,None,Arrow,,relates through,
35,Line,,2,,,4,55,None,Arrow,,​+,
36,Line,,2,,,20,55,None,Arrow,,​+,
37,Line,,2,,,21,55,None,Arrow,,​+,
38,Line,,2,,,22,55,None,Arrow,,​+,
40,Line,,2,,,6,9,None,Arrow,,,
44,Line,,2,,,23,55,None,Arrow,,​+,
45,Line,,2,,,9,11,None,Arrow,,Type of,
46,Line,,2,,,10,11,None,Arrow,,Type of,
47,Line,,2,,,5,4,None,Arrow,,Type of,
48,Line,,2,,,13,4,None,Arrow,,Type of,
49,Line,,2,,,9,4,None,Arrow,,Type of,
50,Line,,2,,,7,13,None,Arrow,,Type of,
51,Line,,2,,,15,13,None,Arrow,,Type of,
52,Line,,2,,,16,13,None,Arrow,,Type of,
53,Line,,2,,,18,5,None,Arrow,,Part of,
54,Line,,2,,,19,5,None,Arrow,,Part of,
55,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Descriptive norms' to 'Behaviour' Influences relationship,
56,Line,,2,,,55,3,None,Arrow,,relates to,
