Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,79. Theory of Planned Behaviour - RW,
2,Page,,,,,,,,,,Page 1,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Intention,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Subjective norms,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitude to the behaviour,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived behavioural control,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Outcome evaluation,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural belief strength,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural belief,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Behavioural belief composite,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Normative beliefs composite,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Control beliefs compoosite,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to comply,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Normative belief strength,
16,Process,Flowchart Shapes/Containers,2,,,,,,,,Normative belief,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Power of control factor,
18,Process,Flowchart Shapes/Containers,2,,,,,,,,Control belief strength,
19,Process,Flowchart Shapes/Containers,2,,,,,,,,Control belief,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Actual behavioural control,
21,Line,,2,,,4,3,None,Arrow,,​+,
22,Line,,2,,,5,3,None,Arrow,,​+,
23,Line,,2,,,6,3,None,Arrow,,​+,
24,Line,,2,,,5,4,None,Arrow,,,
25,Line,,2,,,4,5,None,Arrow,,,
26,Line,,2,,,4,46,None,Arrow,,,
27,Line,,2,,,6,46,None,Arrow,,relates through,
28,Line,,2,,,5,6,None,Arrow,,,
29,Line,,2,,,6,5,None,Arrow,,,
30,Line,,2,,,3,48,None,Arrow,,relates through,
31,Line,,2,,,6,48,None,Arrow,,​+,
32,Line,,2,,,7,10,None,Arrow,,*,
33,Line,,2,,,8,10,None,Arrow,,*,
34,Line,,2,,,10,11,None,Arrow,,Sum,
35,Line,,2,,,11,5,None,Arrow,,​+,
36,Line,,2,,,12,4,None,Arrow,,​+,
37,Line,,2,,,13,6,None,Arrow,,​+,
38,Line,,2,,,14,16,None,Arrow,,*,
39,Line,,2,,,15,16,None,Arrow,,*,
40,Line,,2,,,16,12,None,Arrow,,Sum,
41,Line,,2,,,17,19,None,Arrow,,*,
42,Line,,2,,,18,19,None,Arrow,,*,
43,Line,,2,,,19,13,None,Arrow,,Sum,
44,Line,,2,,,20,6,None,Arrow,,​+,
45,Line,,2,,,20,48,None,Arrow,,​+,
46,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Perceived behavioural control' to 'Subjective norms' Influences relationship,
47,Line,,2,,,46,4,None,Arrow,,relates to,
48,Terminator,Flowchart Shapes/Containers,2,,,,,,,,the 'Intention' to 'Behaviour' ​+ relationship,
49,Line,,2,,,48,9,None,Arrow,,relates to,
