Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,80. Theory of Triadic Influence - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Social bonding,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Health-related knowledge,
5,Process,Flowchart Shapes/Containers,2,,,,,,,,Biology / personality,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,Sense of self,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-determination,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Self-efficacy,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Tiers of influence,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Ultimate causes tier,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Social personal nexus tier,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Expectancy-value tier,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Affective / cognitive tier,
14,Process,Flowchart Shapes/Containers,2,,,,,,,,Decisions tier,
15,Process,Flowchart Shapes/Containers,2,,,,,,,,Experience,
17,Process,Flowchart Shapes/Containers,2,,,,,,,,Streams of influence,
20,Process,Flowchart Shapes/Containers,2,,,,,,,,Decisions / intentions,
21,Process,Flowchart Shapes/Containers,2,,,,,,,,Intrapersonal influences,
23,Process,Flowchart Shapes/Containers,2,,,,,,,,Social influences,
25,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudinal influences,
29,Process,Flowchart Shapes/Containers,2,,,,,,,,Cultural environment,
30,Process,Flowchart Shapes/Containers,2,,,,,,,,Immediate social context,
32,Process,Flowchart Shapes/Containers,2,,,,,,,,Social competence,
33,Process,Flowchart Shapes/Containers,2,,,,,,,,Social learning,
34,Process,Flowchart Shapes/Containers,2,,,,,,,,Health-related values,
36,Process,Flowchart Shapes/Containers,2,,,,,,,,Skills,
37,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived norms,
38,Process,Flowchart Shapes/Containers,2,,,,,,,,Motivation to comply,
39,Process,Flowchart Shapes/Containers,2,,,,,,,,Expectations about consequences,
40,Process,Flowchart Shapes/Containers,2,,,,,,,,Evaluations of consequences,
42,Process,Flowchart Shapes/Containers,2,,,,,,,,Social normative beliefs,
44,Process,Flowchart Shapes/Containers,2,,,,,,,,Health-related behaviour,
45,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudes,
47,Line,,2,,,8,20,None,Arrow,,,
50,Line,,2,,,44,15,None,Arrow,,,
61,Line,,2,,,30,33,None,Arrow,,,
62,Line,,2,,,30,3,None,Arrow,,,
64,Line,,2,,,20,44,None,Arrow,,,
68,Line,,2,,,29,34,None,Arrow,,,
69,Line,,2,,,29,4,None,Arrow,,,
71,Line,,2,,,45,20,None,Arrow,,,
80,Line,,2,,,21,23,None,Arrow,,,
81,Line,,2,,,15,34,None,Arrow,,,
82,Line,,2,,,15,39,None,Arrow,,,
83,Line,,2,,,15,38,None,Arrow,,,
84,Line,,2,,,15,37,None,Arrow,,,
85,Line,,2,,,15,36,None,Arrow,,,
86,Line,,2,,,15,7,None,Arrow,,,
92,Line,,2,,,25,23,None,Arrow,,,
93,Line,,2,,,23,21,None,Arrow,,,
94,Line,,2,,,23,25,None,Arrow,,,
95,Line,,2,,,25,21,None,Arrow,,,
96,Line,,2,,,6,7,None,Arrow,,,
97,Line,,2,,,3,7,None,Arrow,,,
98,Line,,2,,,4,7,None,Arrow,,,
99,Line,,2,,,32,36,None,Arrow,,,
100,Line,,2,,,4,36,None,Arrow,,,
101,Line,,2,,,32,37,None,Arrow,,,
102,Line,,2,,,4,37,None,Arrow,,,
103,Line,,2,,,34,38,None,Arrow,,,
104,Line,,2,,,32,39,None,Arrow,,,
105,Line,,2,,,33,39,None,Arrow,,,
106,Line,,2,,,34,40,None,Arrow,,,
114,Line,,2,,,6,38,None,Arrow,,,
116,Line,,2,,,21,25,None,Arrow,,,
117,Line,,2,,,42,20,None,Arrow,,,
118,Line,,2,,,33,37,None,Arrow,,,
119,Line,,2,,,33,36,None,Arrow,,,
120,Line,,2,,,15,4,None,Arrow,,,
124,Line,,2,,,5,6,None,Arrow,,,
125,Line,,2,,,5,32,None,Arrow,,,
133,Line,,2,,,6,40,None,Arrow,,,
134,Line,,2,,,33,40,None,Arrow,,,
135,Line,,2,,,4,39,None,Arrow,,,
136,Line,,2,,,3,38,None,Arrow,,,
137,Line,,2,,,15,40,None,Arrow,,,
138,Line,,2,,,15,6,None,Arrow,,,
139,Line,,2,,,15,32,None,Arrow,,,
140,Line,,2,,,15,33,None,Arrow,,,
142,Line,,2,,,15,3,None,Arrow,,,
143,Line,,2,,,21,17,None,Arrow,,Type of,
144,Line,,2,,,23,17,None,Arrow,,Type of,
145,Line,,2,,,25,17,None,Arrow,,Type of,
146,Line,,2,,,37,42,None,Arrow,,*,
147,Line,,2,,,38,42,None,Arrow,,*,
148,Line,,2,,,36,8,None,Arrow,,*,
149,Line,,2,,,7,8,None,Arrow,,*,
150,Line,,2,,,5,21,None,Arrow,,Part of,
151,Line,,2,,,30,23,None,Arrow,,Part of,
152,Line,,2,,,29,25,None,Arrow,,Part of,
153,Line,,2,,,40,45,None,Arrow,,*,
154,Line,,2,,,39,45,None,Arrow,,*,
155,Line,,2,,,10,9,None,Arrow,,Type of,
156,Line,,2,,,11,9,None,Arrow,,Type of,
157,Line,,2,,,13,9,None,Arrow,,Type of,
158,Line,,2,,,14,9,None,Arrow,,Type of,
159,Line,,2,,,12,9,None,Arrow,,Type of,
160,Line,,2,,,32,11,None,Arrow,,Part of,
161,Line,,2,,,33,11,None,Arrow,,Part of,
162,Line,,2,,,3,11,None,Arrow,,Part of,
163,Line,,2,,,4,11,None,Arrow,,Part of,
164,Line,,2,,,6,11,None,Arrow,,Part of,
165,Line,,2,,,34,11,None,Arrow,,Part of,
166,Line,,2,,,7,12,None,Arrow,,Part of,
167,Line,,2,,,36,12,None,Arrow,,Part of,
168,Line,,2,,,37,12,None,Arrow,,Part of,
169,Line,,2,,,38,12,None,Arrow,,Part of,
170,Line,,2,,,39,12,None,Arrow,,Part of,
171,Line,,2,,,40,12,None,Arrow,,Part of,
172,Line,,2,,,8,13,None,Arrow,,Part of,
173,Line,,2,,,42,13,None,Arrow,,Part of,
174,Line,,2,,,45,13,None,Arrow,,Part of,
175,Line,,2,,,20,14,None,Arrow,,Part of,
176,Line,,2,,,5,10,None,Arrow,,Part of,
177,Line,,2,,,30,10,None,Arrow,,Part of,
178,Line,,2,,,29,10,None,Arrow,,Part of,
