Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,Draft,81. The Transcontextual Model of Motivation - FINAL,
2,Page,,,,,,,,,,New Page,
3,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived autonomy support ,
4,Process,Flowchart Shapes/Containers,2,,,,,,,,Behaviour,
6,Process,Flowchart Shapes/Containers,2,,,,,,,,External regulation,
7,Process,Flowchart Shapes/Containers,2,,,,,,,,Introjected regulation,
8,Process,Flowchart Shapes/Containers,2,,,,,,,,Identified regulation,
9,Process,Flowchart Shapes/Containers,2,,,,,,,,Intrinsic motivation,
10,Process,Flowchart Shapes/Containers,2,,,,,,,,Attitudes,
11,Process,Flowchart Shapes/Containers,2,,,,,,,,Intentions,
12,Process,Flowchart Shapes/Containers,2,,,,,,,,Subjective norms,
13,Process,Flowchart Shapes/Containers,2,,,,,,,,Perceived behavioural control,
14,Process,Flowchart Shapes/Containers,2,,,,,,,, Perceived locus of causality,
19,Line,,2,,,3,14,None,Arrow,,,
20,Line,,2,,,14,10,None,Arrow,,,
21,Line,,2,,,10,11,None,Arrow,,​+,
22,Line,,2,,,13,11,None,Arrow,,​+,
23,Line,,2,,,8,10,None,Arrow,,​+,
24,Line,,2,,,9,10,None,Arrow,,​+,
25,Line,,2,,,6,12,None,Arrow,,​+,
26,Line,,2,,,7,12,None,Arrow,,​+,
27,Line,,2,,,11,4,None,Arrow,,,
28,Line,,2,,,12,11,None,Arrow,,,
30,Line,,2,,,14,13,None,Arrow,,,
31,Line,,2,,,14,12,None,Arrow,,,
32,Line,,2,,,9,13,None,Arrow,,​+,
33,Line,,2,,,8,13,None,Arrow,,​+,
34,Line,,2,,,6,14,None,Arrow,,Part of,
35,Line,,2,,,7,14,None,Arrow,,Part of,
36,Line,,2,,,8,14,None,Arrow,,Part of,
37,Line,,2,,,9,14,None,Arrow,,Part of,
