1---Action Theory Model of Consumption	has construct	Somatic marker processes
1---Action Theory Model of Consumption	has construct	Anticipated emotions
Somatic marker processes	Influences	Anticipated emotions
Somatic marker processes	has annotation	BCIO:050564---affective attitude acquired through association
Anticipated emotions	has annotation	BCIO:050590---belief about emotional consequences of goal attainment
1---Action Theory Model of Consumption	has construct	Anticipated emotions
1---Action Theory Model of Consumption	has construct	Desire
Anticipated emotions	Influences	Desire
Anticipated emotions	has annotation	BCIO:050590---belief about emotional consequences of goal attainment
Desire	has annotation	MF:0000045---wanting
Desire	has annotation	BCIO:050316---subjective need
1---Action Theory Model of Consumption	has construct	Perceived behavioural control
1---Action Theory Model of Consumption	has construct	Desire
Perceived behavioural control	Influences	Desire
Perceived behavioural control	has annotation	BCIO:006034---belief about choice over a behaviour
Perceived behavioural control	has annotation	MFOEM:000075---appraisal of causal agency
Desire	has annotation	MF:0000045---wanting
Desire	has annotation	BCIO:050316---subjective need
1---Action Theory Model of Consumption	has construct	Goal attainment / failure
1---Action Theory Model of Consumption	has construct	Feedback
Goal attainment / failure	Influences	Feedback
Goal attainment / failure	has annotation	BCIO:050886---extent of past behavioural achievement
Feedback	has annotation	BCIO:007023---provide feedback on behaviour BCT
1---Action Theory Model of Consumption	has construct	Goal intention
1---Action Theory Model of Consumption	has construct	Desire
Goal intention	Positively influences	Desire
Goal intention	has annotation	BCIO:006016---behavioural intention
Desire	has annotation	MF:0000045---wanting
Desire	has annotation	BCIO:050316---subjective need
1---Action Theory Model of Consumption	has construct	Subjective norms
1---Action Theory Model of Consumption	has construct	Desire
Subjective norms	Influences	Desire
Subjective norms	has annotation	BCIO:006042---normative belief
Subjective norms	has annotation	BCIO:006059---motivation to comply
Desire	has annotation	MF:0000045---wanting
Desire	has annotation	BCIO:050316---subjective need
1---Action Theory Model of Consumption	has construct	Attitudes
1---Action Theory Model of Consumption	has construct	Desire
Attitudes	Influences	Desire
Attitudes	has annotation	BCIO:050328---attitude
Desire	has annotation	MF:0000045---wanting
Desire	has annotation	BCIO:050316---subjective need
