A1,A1Label,Rel,A2,A2Label,Count
BCIO:006001,social environmental system,Part of,ENVO:01000254,environmental system,10
BCIO:006001,social environmental system,Part of,BCIO:006086,behavioural opportunity,9
BFO:0000038,one-dimensional temporal region,Transitions to,BCIO:050924,behaviour non-intender,9
BCIO:050922,behaviour enacter,Transitions to,BFO:0000038,one-dimensional temporal region,7
BCIO:050671,group evaluative behavioural norm,Part of,BCIO:006001,social environmental system,6
BCIO:050922,behaviour enacter,Transitions to,BCIO:050924,behaviour non-intender,6
BCIO:006125,operant conditioning,Type of,BCIO:050684,intermittent schedule of reinforcement,5
ENVO:01000254,environmental system,Influences,BCIO:006099,social influence behaviour,4
BCIO:006048,behavioural decision,Type of,BCIO:006116,decision-making,4
BCIO:006048,behavioural decision,Part of,BCIO:006001,social environmental system,4
BCIO:006016,behavioural intention,Influences,BCIO:036000,individual human behaviour,4
BCIO:006099,social influence behaviour,Part of,BCIO:006086,behavioural opportunity,4
BCIO:006038,evaluative belief,Influences,BCIO:036000,individual human behaviour,4
ENVO:01000254,environmental system,Part of,BCIO:006086,behavioural opportunity,4
BCIO:050805,behaviour pattern maintenance,Transitions to,BFO:0000038,one-dimensional temporal region,4
BFO:0000038,one-dimensional temporal region,Transitions to,BCIO:050683,intention to enact a behaviour,4
BFO:0000038,one-dimensional temporal region,Transitions to,BCIO:050492,unawareness of a behaviour,4
BCIO:006133,behavioural motivation,Influences,BCIO:036000,individual human behaviour,4
BCIO:006001,social environmental system,Influences,BCIO:036000,individual human behaviour,4
BCIO:050671,group evaluative behavioural norm,Part of,BCIO:006090,social behavioural opportunity,4
BCIO:006148,evaluative belief about the consequences of behaviour,Influences (*),BCIO:050328,attitude,3
BCIO:050328,attitude,Part of,ENVO:01000254,environmental system,3
BCIO:006090,social behavioural opportunity,Part of,BCIO:006001,social environmental system,3
BCIO:006090,social behavioural opportunity,Part of,BCIO:006099,social influence behaviour,3
BCIO:006042,normative belief,Influences,BCIO:006016,behavioural intention,3
MF:0000041,belief,Part of,MF:0000033,mental disposition,3
BCIO:006154,self-efficacy belief for a behaviour,Positively influences,BCIO:006016,behavioural intention,3
BCIO:050219,belief about health consequences of behaviour,Part of,BCIO:006019,belief about consequences of behaviour,3
BCIO:006064,psychological need,Part of,BCIO:006133,behavioural motivation,3
MFOEM:000001,emotion process,Part of,MFOEM:000195,affective process,3
BCIO:050806,behavioural consequence,Influences,BCIO:006133,behavioural motivation,3
BCIO:006001,social environmental system,Influences,BCIO:006099,social influence behaviour,3
BCIO:006099,social influence behaviour,Influences,MF:0000041,belief,3
BCIO:006099,social influence behaviour,Part of,ENVO:01000254,environmental system,3
BCIO:006039,perceived norm,Influences,BCIO:006016,behavioural intention,3
BCIO:050922,behaviour enacter,Transitions to,BCIO:050683,intention to enact a behaviour,3
BCIO:050805,behaviour pattern maintenance,Transitions to,BCIO:050924,behaviour non-intender,3
BCIO:050477,having enacted a behaviour,Transitions to,BCIO:050924,behaviour non-intender,3
BCIO:050477,having enacted a behaviour,Transitions to,BFO:0000038,one-dimensional temporal region,3
ENVO:01000254,environmental system,Influences,MF:0000032,bodily disposition,3
BCIO:036000,individual human behaviour,Influences,ENVO:01000254,environmental system,3
BCIO:007055,demonstrate the behaviour BCT,Type of,BCIO:003000,behaviour change intervention,3
ENVO:01000254,environmental system,Influences,BCIO:050848,capability to imagine future scenarios,3
BCIO:050800,observational learning,Part of,BCIO:006001,social environmental system,3
BCIO:050300,personal attribute,Part of,MF:0000032,bodily disposition,3
BCIO:050300,personal attribute,Part of,BCIO:006001,social environmental system,3
ENVO:01000254,environmental system,Influences,BCIO:036035,economic behaviour,3
BCIO:006059,motivation to comply,Influences (*),BCIO:006042,normative belief,2
BCIO:006019,belief about consequences of behaviour,Influences (*),BCIO:050328,attitude,2
BCIO:006042,normative belief,Part of,MF:0000032,bodily disposition,2
BCIO:006042,normative belief,Part of,ENVO:01000254,environmental system,2
BCIO:006059,motivation to comply,Part of,MF:0000032,bodily disposition,2
BCIO:006059,motivation to comply,Part of,ENVO:01000254,environmental system,2
BCIO:006016,behavioural intention,Part of,MF:0000032,bodily disposition,2
BCIO:006016,behavioural intention,Part of,ENVO:01000254,environmental system,2
MF:0000019,perception,Influences,BCIO:050859,desired self-regulatory standard,2
BCIO:050859,desired self-regulatory standard,Part of,BCIO:050956,degree of organisational hierarchy,2
BCIO:050478,influencer role,Influences,BCIO:006116,decision-making,2
BCIO:006001,social environmental system,Type of,BCIO:036034,human communication behaviour,2
BCIO:006001,social environmental system,Type of,BCIO:050556,mass media mode of delivery,2
BCIO:050328,attitude,Influences,BCIO:006016,behavioural intention,2
BCIO:006099,social influence behaviour,Part of,BCIO:006042,normative belief,2
BCIO:006133,behavioural motivation,Part of,BCIO:006052,knowledge,2
BCIO:050328,attitude,Part of,MF:0000033,mental disposition,2
ENVO:01000254,environmental system,Part of,BCIO:006001,social environmental system,2
BCIO:006031,belief about personal susceptibility,Part of,BCIO:006306,belief about threat,2
BCIO:050603,belief about the discrepancy between one’s current and target state,Part of,BCIO:007012,attend to discrepancy between current behaviour and goal BCT,2
BCIO:006040,perceived descriptive behavioural norm,Type of,BCIO:006039,perceived norm,2
BCIO:006041,perceived evaluative behavioural norm,Type of,BCIO:006039,perceived norm,2
BCIO:006062,promotion focused motivational orientation,Type of,BCIO:006005,self-regulation capability,2
OMRSE:00000064,school facility,Type of,BCIO:006001,social environmental system,2
ENVO:01000254,environmental system,Influences,BCIO:050639,emotional opportunity,2
MFOEM:000001,emotion process,Influences,BCIO:050328,attitude,2
BCIO:050328,attitude,Influences,BCIO:050832,reflective behaviour,2
MFOEM:000001,emotion process,Influences,BCIO:050813,emotional behaviour,2
MFOEM:000204,emotional personality trait,Influences,MFOEM:000001,emotion process,2
ENVO:01000254,environmental system,Influences,BCIO:050328,attitude,2
BCIO:050637,egoistic personal value,Type of,BCIO:006063,personal value,2
BCIO:050781,societal personal value,Type of,BCIO:006063,personal value,2
BCIO:050708,moral personal value,Type of,BCIO:006063,personal value,2
BCIO:050781,societal personal value,Type of,BCIO:050708,moral personal value,2
BCIO:050967,pro-environmental personal value,Type of,BCIO:050781,societal personal value,2
BCIO:050967,pro-environmental personal value,Type of,BCIO:050708,moral personal value,2
BCIO:007022,provide feedback BCT,Influences (*),BCIO:006133,behavioural motivation,2
BCIO:006019,belief about consequences of behaviour,Positively influences,BCIO:006016,behavioural intention,2
MF:0000027,planning,Influences,BCIO:036000,individual human behaviour,2
BCIO:050219,belief about health consequences of behaviour,Correlates with,BCIO:006020,belief about social consequences of behaviour,2
BCIO:006154,self-efficacy belief for a behaviour,Correlates with,BCIO:050219,belief about health consequences of behaviour,2
BCIO:006005,self-regulation capability,Part of,BCIO:050268,self-regulation process,2
BCIO:006154,self-efficacy belief for a behaviour,Part of,BCIO:006019,belief about consequences of behaviour,2
BCIO:006133,behavioural motivation,Influences,BCIO:006034,belief about choice over a behaviour,2
BCIO:006064,psychological need,Part of,BCIO:050767,self-motive,2
BCIO:006154,self-efficacy belief for a behaviour,Part of,MF:0000033,mental disposition,2
BCIO:050764,self-efficacy belief for a behaviour under conditions of stress,Part of,BCIO:006154,self-efficacy belief for a behaviour,2
BCIO:050215,behavioural capability,Part of,MF:0000043,capability,2
BCIO:006001,social environmental system,Influences,BCIO:006090,social behavioural opportunity,2
MF:0000048,mental capability,Type of,BCIO:050215,behavioural capability,2
ADDICTO:0001109,public policy,Influences,BCIO:006001,social environmental system,2
MF:0000041,belief,Influences,ADDICTO:0001135,alcohol consumption pattern,2
